term,value,context,context value,level
@topic,Цæрæгойтæ,,,
@author,Kazbek Byasov,,,
asp,аспид,,,hard
butterfly,гæбæло,,,simple
cormorant,баклан,,,normal
ram,фур,,,simple
snow leopard,мусу,,,simple
badger,дзæгъарæг,,,hard
hippopotamus,бегемот,,,simple
ahodonta,æдæндæгтæ,,,hard
snipe,мæга,,,hard
white rat,уорс гæлæу,,,hard
white partridge,уорс хургарк,,,hard
snowy owl,уорс уг,,,hard
squirrel,туртуна,,,simple
flying squirrel,тæхагæ æхсæрсæттæг,,,hard
griffin,уорссæр сип,,,hard
the beluga,уорсгæф,,,hard
white bear,уорс арс,,,normal
golden eagle,беркут,,,normal
stag deer,сæрбæрзонд саг,,,hard
flea,æхсæукъæ,,,normal
beaver,бобр,,,normal
mantis,богомол,,,hard
ladybird,хани кизгæ,,,simple
greyhound,егар,,,hard
bearded vulture,саубецъо цæргæс,,,hard
buffalo,къамбец,,,simple
thunderbird,денгизон уарий,,,hard
chipmunk,бурундук,,,normal
brown bear,бор-мора арс,,,normal
bull,гал,,,simple
steer,иуонæг,,,normal
woodcock,гъæди мæга,,,hard
bluethroat,варакушкæ,,,hard
monitor lizard,варан,,,normal
wild boar,тускъа,,,simple
camel,теуа,,,simple
wryneck,хъуртелой,,,normal
vobla,воблæ,,,normal
water strider,хуæдмæлхуар систæ,,,hard
wolf,берæгъ,,,simple
sparrow,æхсæрæцъеу,,,hard
crow,халон,,,simple
tartar sand boa,хорискæсæйнаг æлвасхелагæ,,,hard
sucking louse,систæ,,,simple
carassius veiltail,вуалехвост,,,hard
otter,урдæ,,,hard
bittern,хæпсæхуар,,,normal
weather loach misgurnus,тæлфой кæсалгæ,,,hard
brambling,вьюрок,,,hard
loon,гагарæ,,,hard
adder,боргъос хелагæ,,,hard
gazelle,сугахъ,,,normal
jackdaw,сауцъеу,,,normal
cheetah,гепард,,,normal
gibbon,гиббон,,,normal
hyena,гиенæ,,,normal
helminth intestinal worm,хæлæртти золкъæ,,,normal
wood-grouse,хъургарк,,,normal
loach,тъепа,,,normal
tadpole,утъир,,,hard
pigeon,бæлæу,,,simple
copper-butterfly,голубянкæ,,,hard
redstart,боркъæдзелæ цъеу,,,hard
ermine,сибийраг æрвгæ,,,hard
rook,цъах,,,normal
great crested newt,сæрвасæнхуз тритон,,,hard
vulture,хуæдмæлхуар,,,normal
rodent,æхсинæг,,,normal
guppies,гуппи,,,hard
caterpillar,æлуиз,,,hard
goose,хъаз,,,simple
viper,гюрза,,,hard
dolphin,æргъеугæф,,,normal
earthworm,уаруни золкъæ,,,normal
longhorne beetle,гъæдхуар,,,normal
thrush,нæмугхуар,,,hard
bustard,дудахъ,,,normal
woodpecker,гъæдкъуæр,,,normal
raccoon,енот,,,normal
spiny anteater,ехиднæ,,,normal
hedgehog,узун,,,simple
toad,гъуæрддун хæпсæ,,,hard
lark,нигъули,,,normal
glass-lizard,борхъæстæ æнкъуæлхæ,,,hard
colias hyade,бор гæбæло,,,normal
stallion,урс,,,normal
colt,байраг,,,normal
giraffe,жираф,,,simple
carabus ground beetle,хуари хъæбуза,,,hard
bug,гъæдисистæ,,,hard
blaps beetle,жук-медляк,,,hard
