term,value,context,context value,level
@topic,Цæрæгойтæ.Мæргътæ
@author,Kazbek Byasov
bearded vulture,саубецъо цæргæс,,,normal
bittern,хæпсæхуар,,,normal
blackcock,саугарк,,,normal
bluethroat,варакушкæ,,,hard
brambling,вьюрок,,,normal
branta,казаркæ,,,hard
bullfinch,сурхбун,,,normal
bustard,дудахъ,,,normal
buzzard,сарыч,,,normal
canary,канарейкæ,,,simple
caucasian black grouse,кавказаг саугарк,,,hard
chough,клушицæ,,,hard
cock,уасæнгæ,,,simple
cockatoo,устур тотий,,,normal
common shelduck,пеганкæ,,,hard
cormorant,баклан,,,hard
corn crake,цъæх мæга,,,hard
crane,хъуррой,,,simple
crossbill,дзиуаркъæбот,,,hard
crow,халон,,,simple
cuckoo,гæггог,,,simple
demoiselle crane,рæсугъд хъуррой,,,normal
duck,бабуз,,,simple
duckbill,бабузфий,,,normal
eagle,цæргæс,,,simple
eagle owl,тоймон,,,normal
falcon,уарий,,,simple
finch,метметгæнагæ,,,normal
flamingo,фламинго,,,simple
fly-catcher,биндзхуар,,,hard
giildenstadt’s redstart,сурхгубун горихвосткæ,,,hard
golden eagle,беркут,,,simple
goose,хъаз,,,simple
griffin,уорссæр сип,,,hard
gull,кæсалгдзау,,,normal
harrier,лунь,,,hard
hawk,цъеусор,,,normal
hazel hen,дзугъгургарк,,,normal
hen,карк,,,simple
heron,кæсалглас,,,simple
hoopoe,гоппой,,,normal
horned owl,сидахъ,,,hard
humming-bird,колибри,,,simple
jackdaw,сауцъеу,,,normal
jay,сойкæ,,,normal
kestrel,пустельгитæ,,,hard
kinglet,нæзий цъеу,,,normal
kite,хъæрццигъа,,,simple
lapwing,чибис,,,hard
lark,нигъули,,,normal
little bustard,стрепет,,,normal
loon,гагарæ,,,normal
magpie,хъеу-хъеуагæ,,,simple
mallard quack,гъæддаг бабуз,,,hard
merlin arctic falcon,лацин,,,hard
nightingale,борæмæлгъæ,,,simple
nightjar,сæгъдоцæг,,,hard
nuthatch,гъæддон цъеу,,,hard
oriole,борцъеу,,,normal
owl,уг,,,simple
parrot,тотий,,,simple
partridge,хургарк,,,normal
peacock,мæлгъæ,,,simple
pearl-hen,цецур,,,normal
penguin,пингвин,,,simple
pheasant,синдзи уасæнгæ,,,normal
pied bushchat,игуæрдæни цигкæнæг,,,hard
pigeon,гæлæу,,,simple
pink starling,рохснæгхуз саумæлгъæ,,,normal
pipit,конёк,,,normal
poult,цъеу,,,simple
quail,уæрццæ,,,normal
redstart,боркъæдзелæ цъеу,,,hard
rook,цъах,,,normal
ruddy shelduck,сурх бабуз,,,hard
sand martin,къима,,,normal
sandspiper,дони уæрццæ,,,hard
snipe,мæга,,,hard
snow bunting,пуночкæ,,,hard
snowcock,зумаргъ,,,normal
snowy owl,уорс уг,,,normal
sparrow,æхсæрæцъеу,,,simple
spotted nutcracker,сибийраг халон,,,hard
starling,саумæлгъæ,,,normal
swallow,зæрбатуг,,,simple
swan,донихъаз,,,simple
the long-eared bat,гъосой,,,hard
thrush,нæмугхуар,,,simple
thunderbird,денгизон уарий,,,normal
titmouse,дзубулдар,,,normal
toucan,тукан,,,normal
turkey,силæ гогуз,,,simple
turkey-cock,нæл гогуз,,,simple
vulture,хуæдмæлхуар,,,simple
white partridge,уорс хургарк,,,hard
wood-grouse,хъургарк,,,normal
woodcock,гъæди мæга,,,hard
woodpecker,гъæдкъуæр,,,simple
wryneck,хъуртелой,,,hard
