term,value,context,context value,level
@topic,Бийнонтæ,,,
@author,Kazbek Biasti,,,
@author_local,Биасти Георги фурт Казбек,,,
baby,бæдолæ,,,simple
boy,биццеу,,,simple
bride,ностæ,,,simple
brothers,æнсувæр,,,simple
children,сувæллæнтæ,,,simple
daughter,кизгæ,,,simple
family,бийнонтæ,,,simple
father,фидæ,,,simple
girl,кизгæ,,,simple
grandfather,баба,,,simple
grandmother,нана,,,simple
groom,мойнаг,,,normal
husband,мойнæ,,,normal
man,лæг,,,simple
mother,мадæ,,,simple
parents,нийæргутæ,,,simple
son,фурт,,,simple
twins,фаззæттæ,,,normal
wife,уосæ,,,normal
woman,силгоймаг,,,simple
