term,value
@topic,Цæрæгойтæ.Æхсирæйхæсгæ
@author,Kazbek Byasov
ram,фур
snow leopard,мусу
badger,дзæгъарæг
hippopotamus,бегемот
white rat,уорс гæлæу
squirrel,туртуна
flying squirrel,тæхагæ æхсæрсæттæг
white bear,уорс арс
stag deer,сæрбæрзонд саг
beaver,бобр
greyhound,егар
buffalo,къамбец
chipmunk,бурундук
brown bear,бор-мора арс
bull,гал
steer,иуонæг
wild boar,тускъа
camel,теуа
wolf,берæгъ
otter,урдæ
gazelle,сугахъ
cheetah,гепард
gibbon,гиббон
hyena,гиенæ
ermine,сибийраг æрвгæ
rodent,æхсинæг
dolphin,æргъеугæф
raccoon,енот
spiny anteater,ехиднæ
hedgehog,узун
stallion,урс
colt,байраг
giraffe,жираф
hare,тæрхъос
blue hare,уорс тæрхъос
zebra,зебрæ
shrew,зæнхкъахæг
auroch bison,донмæй
kangaroo,кенгуру
whale,гайа
mare,æфсæ
goat,сæгъæ
kid,дæркъæ
cow,гъог
steppe fox,корсак
roe deer,рæубес
cat,тикис
fur seal,котик
rabbit,хæдзайрон тæрхъос
mole,хъæрæу гæлæу
fruit-bat,крылан
rat,гæлæу
onager,кулан
marten,сæлаур
lama,ламæ
doe,хъуаз
weasel,тæхсæл
lion,домбай
lemming,лемминг
leopard,леопард
bat,хæлинбиттир
fox,робас
elk,цæгаттаг саг
horse,бæх
lioness,силæ домбай
mammoth,мамонт
bear,арс
walrus,морж
guinea-pig,денгизи хъибил
mule,хъадир
anteater,мулдзугхуар
mouse,мистæ
mink,норкæ
rhinoceros,сиукъафий
monkey,маймули
sheep,фус
female deer,саг
orangoutan,орангутанг
donkey,хæрæг
burro baby-ass,къæлæу
panda,пандæ
marbled polecat,перевязкæ
polar fox,цæгатаг робас
pika,пищухæ
arvicolinae,хуми мистæ
piglet,хъибил
puma,пумæ
lynx,стай
saiga,сайгак
pig,ху
northern deer,цæгаттаг саг
chamois,сикъе
skunk,скунс
elephant,пил
dog,куй
sable,сибийраг сæлаур
marmot,зæнхи æхсæрсæттæг
gopher,гъолон гæлæу
calf,уæс
heifer,хъунадзин
tiger,тигр
capra,дзæбодур
jerboa,тушкан
seal,тюлен
duckbill,бабузфий
the long-eared bat,гъосой
hamster,къода гæлæу
jackal,шакал
puppy,къæбис
lamb,уæр
jaguar,ягуар
yak,як
