term,value,context,context value,level
@topic,Æзмæлуйнадæ,,,
@author,Byasov Kazbek,,,
@author.local,Биасти Георги фурт Хъазибег,,,
amble,дзоргъа,,,hard
bounce,æсхъеуын,,,normal
bump,æсхуайун,,,simple
dance,кафун,,,simple
dart,æхсун,,,normal
jog,ледзун,,,normal
laugh,ходун,,,simple
limp,къулух цæун,,,simple
lope,сæпп кæнун,,,normal
roll,толун,,,simple
run,ледзун,,,simple
saunter,тъезгъо кæнун,,,normal
scamper,ледзун,,,normal
scurry,æнтойнæ,,,normal
spin,урухсун,,,normal
stagger,æнкъусун,,,normal
strut,хъалæй цæун,,,hard
swagger,зинæнвæрсон,,,hard
sway,уегъун,,,simple
tiptoe,гъузун,,,simple
traipse,лæсун,,,normal
walk,цæун,,,simple
work,косун,,,simple
