term,value,context,context value,level
@author,Kazbek Biasti,,,
@author.local,Биасти Георги фурт Хъазибег,,,
@topic,Уонх,,,
bay,гулфæн,,,normal
beach,æртайæн,,,simple
bridge,хед,,,simple
canyon,ком,,,simple
cave,лæгæт,,,normal
cliff,къæдзæх,,,normal
cloud,æврагъ,,,simple
coast,билгон,,,simple
crater,кратер,,,normal
dam,колгонд,,,normal
desert,æдзæрæг,,,simple
dune,æзменсæ къулдун,,,normal
field,будур,,,simple
flower,деденуг,,,simple
forest,гъæдæ,,,simple
glacier,цъете,,,simple
grass,кæрдæг,,,simple
ground,сикъит,,,simple
hill,къулдун,,,simple
island,хъурос,,,simple
jungle,джунгли,,,normal
lake,цадæ,,,normal
land,зæнхæ,,,simple
leaf,тъаффæ,,,simple
meadow,æрдозæ,,,simple
mine,шахтæ,,,normal
moon,мæйæ,,,simple
moss,гъуна,,,normal
mountain,хонх,,,simple
mud,лахъа,,,simple
ocean,уартдзæф,,,simple
park,парк,,,simple
pebble,зурæ,,,normal
precipitate,лæбугъ,,,simple
rainbow,æрдунæ,,,simple
river,цæугæдон,,,simple
riverbank,дони билæ,,,normal
rock,дор,,,simple
sand,æзменсæ,,,simple
sea,денгиз,,,simple
sea shell,сæтæлагъодæ,,,normal
sky,арв,,,simple
soil,сикъит,,,simple
star,æстъалу,,,simple
stone,дор,,,simple
tree,бæласæ,,,simple
tunnel,тъунел,,,normal
water,дон,,,simple
waterfall,цухцурæг,,,simple
wave,улæн,,,normal
whirlpool,хъулф,,,normal
wave,цæхъал,,,normal
cliff,къардеу,,,hard
