term,value
@topic,Animals (Competent)
@author,Kazbek Byasov
@images,animals
@level,competent
asp,asp
butterfly,butterfly
cormorant,cormorant
ram,ram
snow leopard,snow leopard
badger,badger
hippopotamus,hippopotamus
snipe,snipe
squirrel,squirrel
flying squirrel,flying squirrel
griffin,griffin
the beluga,the beluga
white bear,white bear
golden eagle,golden eagle
stag deer,stag deer
flea,flea
beaver,beaver
mantis,mantis
ladybird,ladybird
greyhound,greyhound
bearded vulture,bearded vulture
buffalo,buffalo
thunderbird,thunderbird
chipmunk,chipmunk
brown bear,brown bear
bull,bull
steer,steer
monitor lizard,monitor lizard
wild boar,wild boar
camel,camel
vobla,vobla
wolf,wolf
sparrow,sparrow
crow,crow
sucking louse,sucking louse
carassius veiltail,carassius veiltail
otter,otter
bittern,bittern
weather loach misgurnus,weather loach misgurnus
brambling,brambling
loon,loon
adder,adder
gazelle,gazelle
jackdaw,jackdaw
cheetah,cheetah
gibbon,gibbon
hyena,hyena
wood-grouse,wood-grouse
tadpole,tadpole
pigeon,pigeon
ermine,ermine
rook,rook
great crested newt,great crested newt
vulture,vulture
rodent,rodent
guppies,guppies
caterpillar,caterpillar
goose,goose
viper,viper
dolphin,dolphin
earthworm,earthworm
thrush,thrush
bustard,bustard
woodpecker,woodpecker
raccoon,raccoon
spiny anteater,spiny anteater
hedgehog,hedgehog
toad,toad
lark,lark
stallion,stallion
colt,colt
giraffe,giraffe
crane,crane
hare,hare
blue hare,blue hare
zebra,zebra
lacewings,lacewings
snake,snake
goldfish,goldfish
auroch bison,auroch bison
finch,finch
oriole,oriole
turkey,turkey
turkey-cock,turkey-cock
caucasian black grouse,caucasian black grouse
branta,branta
cockatoo,cockatoo
squid,squid
flounder,flounder
canary,canary
crucian,crucian
carp,carp
kangaroo,kangaroo
whale,whale
crossbill,crossbill
acarid,acarid
chough,chough
cobra,cobra
red-footed falcon,red-footed falcon
mare,mare
goat,goat
kid,kid
nightjar,nightjar
humming-bird,humming-bird
mosquito,mosquito
cow,cow
kinglet,kinglet
corn crake,corn crake
steppe fox,steppe fox
kite,kite
roe deer,roe deer
cat,cat
fur seal,fur seal
crab,crab
shrimp,shrimp
merlin arctic falcon,merlin arctic falcon
crocodile,crocodile
rabbit,rabbit
mole,mole
rat,rat
grasshopper,grasshopper
cuckoo,cuckoo
sandspiper,sandspiper
marten,marten
hen,hen
partridge,partridge
lama,lama
doe,doe
weasel,weasel
swallow,swallow
swan,swan
lion,lion
leopard,leopard
bat,bat
fox,fox
salmon,salmon
elk,elk
horse,horse
pied bushchat,pied bushchat
harrier,harrier
lioness,lioness
frog,frog
swallowtail,swallowtail
mole-cricket,mole-cricket
bear,bear
jellyfish,jellyfish
centipede,centipede
wood louse,wood louse
moth,moth
walrus,walrus
guinea-pig,guinea-pig
mule,mule
ant,ant
anteater,anteater
fly,fly
fly-catcher,fly-catcher
mouse,mouse
mink,mink
rhinoceros,rhinoceros
monkey,monkey
gadfly,gadfly
sheep,sheep
orangoutan,orangoutan
eagle,eagle
wasp,wasp
donkey,donkey
burro baby-ass,burro baby-ass
octopus,octopus
peacock,peacock
panda,panda
spider,spider
pelican,pelican
quail,quail
polar fox,polar fox
cock,cock
penguin,penguin
python,python
pika,pika
bloodsucker,bloodsucker
parrot,parrot
piglet,piglet
puma,puma
snow bunting,snow bunting
bee,bee
crawfish,crawfish
fish,fish
lynx,lynx
hazel hen,hazel hen
ciprinus carpio carp,ciprinus carpio carp
saiga,saiga
locust,locust
cricket,cricket
glowworm,glowworm
pig,pig
northern deer,northern deer
herring,herring
chamois,chamois
titmouse,titmouse
scalare,scalare
batoidea,batoidea
starling,starling
scorpion,scorpion
skunk,skunk
horsefly,horsefly
slug,slug
elephant,elephant
bullfinch,bullfinch
dog,dog
sable,sable
owl,owl
falcon,falcon
nightingale,nightingale
catfish,catfish
magpie,magpie
ostrich,ostrich
dragonfly,dragonfly
little bustard,little bustard
sand martin,sand martin
zander pike-perch,zander pike-perch
marmot,marmot
gopher,gopher
horned owl,horned owl
cockroach,cockroach
tarantula,tarantula
calf,calf
heifer,heifer
termite,termite
blackcock,blackcock
tiger,tiger
aphid,aphid
bankcod,bankcod
eft,eft
wagtail,wagtail
toucan,toucan
capra,capra
jerboa,jerboa
seal,seal
grig,grig
anaconda,anaconda
hoopoe,hoopoe
snail,snail
duck,duck
duckbill,duckbill
the long-eared bat,the long-eared bat
pheasant,pheasant
eagle owl,eagle owl
flamingo,flamingo
trout,trout
chameleon,chameleon
hamster,hamster
corydalis,corydalis
heron,heron
pearl-hen,pearl-hen
poult,poult
gull,gull
worm,worm
tortoise,tortoise
jackal,jackal
bumblebee,bumblebee
puppy,puppy
gloydius,gloydius
pike,pike
lamb,lamb
jaguar,jaguar
yak,yak
hawk,hawk
lizard,lizard
