term,value,context,context value,level
@topic,Animals,,,
@author,Kazbek Biasti,,,
@images,animals,,,
(sea) scallops,(sea) scallops,,,hard
acarid,acarid,,,normal
adder,adder,,,hard
ahodonta,ahodonta,,,hard
anaconda,anaconda,,,normal
ant,ant,,,simple
anteater,anteater,,,normal
aphid,aphid,,,normal
arvicolinae,arvicolinae,,,normal
asp,asp,,,hard
auroch bison,auroch bison,,,normal
badger,badger,,,normal
bankcod,bankcod,,,hard
bark beetle,bark beetle,,,hard
bat,bat,,,simple
batoidea,batoidea,,,normal
bear,bear,,,simple
bearded vulture,bearded vulture,,,hard
beaver,beaver,,,normal
bee,bee,,,simple
bittern,bittern,,,normal
black widow,black widow,,,normal
blackcock,blackcock,,,normal
blaps beetle,blaps beetle,,,hard
bloodsucker,bloodsucker,,,hard
blue hare,blue hare,,,normal
bluethroat,bluethroat,,,hard
brambling,brambling,,,hard
branta,branta,,,hard
brown bear,brown bear,,,normal
buffalo,buffalo,,,simple
bug,bug,,,hard
bug tell-tale,bug tell-tale,,,normal
bull,bull,,,simple
bullfinch,bullfinch,,,hard
bumblebee,bumblebee,,,normal
foal,foal,,,simple
bustard,bustard,,,normal
butterfly,butterfly,,,simple
buzzard,buzzard,,,hard
calf,calf,,,hard
camel,camel,,,simple
canary,canary,,,normal
capra,capra,,,normal
carabus ground beetle,carabus ground beetle,,,hard
carassius veiltail,carassius veiltail,,,hard
carp,carp,,,normal
cat,cat,,,simple
caterpillar,caterpillar,,,hard
catfish,catfish,,,hard
caucasian black grouse,caucasian black grouse,,,hard
centipede,centipede,,,normal
chameleon,chameleon,,,normal
chamois,chamois,,,normal
cheetah,cheetah,,,normal
chipmunk,chipmunk,,,normal
chough,chough,,,hard
ciprinus carpio carp,ciprinus carpio carp,,,hard
cobra,cobra,,,normal
cock,cock,,,simple
cockatoo,cockatoo,,,normal
cockroach,cockroach,,,normal
colias hyade,colias hyade,,,normal
colt,colt,,,normal
common ruffe,common ruffe,,,hard
common shelduck,common shelduck,,,hard
copper-butterfly,copper-butterfly,,,hard
cormorant,cormorant,,,hard
corn crake,corn crake,,,hard
corydalis,corydalis,,,hard
cow,cow,,,simple
crab,crab,,,simple
crane,crane,,,normal
crawfish,crawfish,,,hard
cricket,cricket,,,hard
crocodile,crocodile,,,simple
crossbill,crossbill,,,normal
crow,crow,,,simple
crucian,crucian,,,normal
cuckoo,cuckoo,,,normal
demoiselle crane,demoiselle crane,,,hard
doe,doe,,,normal
dog,dog,,,simple
dolphin,dolphin,,,normal
donkey,donkey,,,simple
dragonfly,dragonfly,,,hard
duck,duck,,,simple
duckbill,duckbill,,,simple
eagle,eagle,,,normal
eagle owl,eagle owl,,,hard
earthworm,earthworm,,,normal
eft,eft,,,hard
elephant,elephant,,,simple
elk,elk,,,hard
ermine,ermine,,,hard
falcon,falcon,,,normal
female deer,female deer,,,simple
finch,finch,,,normal
fish,fish,,,simple
flamingo,flamingo,,,normal
flea,flea,,,normal
flounder,flounder,,,normal
fly,fly,,,simple
fly-catcher,fly-catcher,,,normal
flying squirrel,flying squirrel,,,hard
forest caterpillar hunter,forest caterpillar hunter,,,hard
fox,fox,,,simple
frog,frog,,,simple
fruit-bat,fruit-bat,,,hard
fur seal,fur seal,,,normal
gadfly,gadfly,,,hard
gazelle,gazelle,,,normal
gibbon,gibbon,,,normal
giildenstadt’s redstart,giildenstadt’s redstart,,,hard
giraffe,giraffe,,,simple
glass-lizard,glass-lizard,,,hard
glowworm,glowworm,,,hard
gloydius,gloydius,,,hard
goat,goat,,,normal
golden eagle,golden eagle,,,normal
goldfish,goldfish,,,normal
goose,goose,,,simple
gopher,gopher,,,hard
grasshopper,grasshopper,,,hard
grave digger,grave digger,,,hard
great crested newt,great crested newt,,,hard
greyhound,greyhound,,,hard
griffin,griffin,,,hard
grig,grig,,,normal
guinea-pig,guinea-pig,,,hard
gull,gull,,,hard
guppies,guppies,,,hard
hamster,hamster,,,hard
hare,hare,,,simple
harrier,harrier,,,hard
hawk,hawk,,,normal
hazel hen,hazel hen,,,hard
hedgehog,hedgehog,,,simple
heifer,heifer,,,hard
helminth intestinal worm,helminth intestinal worm,,,normal
hen,hen,,,simple
heron,heron,,,normal
herring,herring,,,hard
hippopotamus,hippopotamus,,,simple
hoopoe,hoopoe,,,normal
horned owl,horned owl,,,normal
horse,horse,,,simple
horsefly,horsefly,,,hard
humming-bird,humming-bird,,,normal
hyena,hyena,,,normal
jackal,jackal,,,normal
jackdaw,jackdaw,,,normal
jaguar,jaguar,,,normal
jay,jay,,,hard
jellyfish,jellyfish,,,normal
jerboa,jerboa,,,normal
kangaroo,kangaroo,,,simple
kestrel,kestrel,,,hard
kid,kid,,,normal
kinglet,kinglet,,,hard
kite,kite,,,hard
lacewings,lacewings,,,hard
ladybird,ladybird,,,simple
lama,lama,,,normal
lamb,lamb,,,hard
lapwing,lapwing,,,hard
lark,lark,,,normal
lemming,lemming,,,normal
leopard,leopard,,,normal
limnaeidae pond-snails,limnaeidae pond-snails,,,hard
lion,lion,,,simple
lioness,lioness,,,normal
little bustard,little bustard,,,hard
lizard,lizard,,,hard
loach,loach,,,normal
locust,locust,,,hard
longhorne beetle,longhorne beetle,,,normal
loon,loon,,,hard
lynx,lynx,,,normal
magpie,magpie,,,hard
mallard quack,mallard quack,,,hard
mammoth,mammoth,,,normal
mantis,mantis,,,hard
marbled polecat,marbled polecat,,,hard
mare,mare,,,hard
margaritana,margaritana,,,hard
marmot,marmot,,,hard
marten,marten,,,hard
merlin arctic falcon,merlin arctic falcon,,,normal
mink,mink,,,normal
mole,mole,,,normal
mole-cricket,mole-cricket,,,normal
monitor lizard,monitor lizard,,,normal
monkey,monkey,,,simple
mosquito,mosquito,,,simple
moth,moth,,,simple
mouse,mouse,,,simple
mule,mule,,,hard
nightingale,nightingale,,,normal
nightjar,nightjar,,,hard
northern deer,northern deer,,,hard
nuthatch,nuthatch,,,hard
octopus,octopus,,,normal
onager,onager,,,normal
orangoutan,orangoutan,,,normal
oriole,oriole,,,hard
ostrich,ostrich,,,normal
otter,otter,,,hard
owl,owl,,,simple
panda,panda,,,normal
paradise fish,paradise fish,,,hard
parrot,parrot,,,simple
partridge,partridge,,,normal
peacock,peacock,,,normal
pearl-hen,pearl-hen,,,normal
pelican,pelican,,,normal
penguin,penguin,,,simple
perch,perch,,,hard
pheasant,pheasant,,,hard
phiclides podalirius,phiclides podalirius,,,hard
phrynocephalus mystaceus,phrynocephalus mystaceus,,,hard
pied bushchat,pied bushchat,,,hard
pig,pig,,,simple
pigeon,pigeon,,,simple
piglet,piglet,,,simple
pika,pika,,,hard
pike,pike,,,hard
pine moth,pine moth,,,hard
pink starling,pink starling,,,hard
pipit,pipit,,,normal
platyfish,platyfish,,,hard
polar fox,polar fox,,,hard
poult,poult,,,simple
puma,puma,,,normal
puppy,puppy,,,simple
python,python,,,hard
quail,quail,,,normal
rabbit,rabbit,,,simple
raccoon,raccoon,,,normal
ram,ram,,,simple
rat,rat,,,simple
red ramshorn snail,red ramshorn snail,,,normal
red-footed falcon,red-footed falcon,,,hard
redstart,redstart,,,hard
rhinoceros,rhinoceros,,,normal
roach,roach,,,normal
rodent,rodent,,,normal
roe deer,roe deer,,,simple
rook,rook,,,normal
ruddy shelduck,ruddy shelduck,,,hard
sable,sable,,,hard
saiga,saiga,,,hard
salmon,salmon,,,hard
sand martin,sand martin,,,hard
sandspiper,sandspiper,,,hard
sardine,sardine,,,hard
scalare,scalare,,,hard
scorpion,scorpion,,,normal
sea-horse,sea-horse,,,hard
seal,seal,,,normal
sheep,sheep,,,simple
shrew,shrew,,,normal
shrimp,shrimp,,,normal
skunk,skunk,,,normal
slug,slug,,,hard
small tortoiseshell,small tortoiseshell,,,hard
snail,snail,,,normal
snake,snake,,,simple
snipe,snipe,,,hard
snow bunting,snow bunting,,,hard
snow leopard,snow leopard,,,normal
snowcock,snowcock,,,normal
snowy owl,snowy owl,,,hard
sparrow,sparrow,,,hard
spider,spider,,,simple
spiny anteater,spiny anteater,,,normal
spotted nutcracker,spotted nutcracker,,,hard
squid,squid,,,normal
squirrel,squirrel,,,simple
stag beetle,stag beetle,,,hard
stag deer,stag deer,,,hard
stallion,stallion,,,normal
starfish,starfish,,,hard
starling,starling,,,normal
steer,steer,,,normal
stellate sturgeon,stellate sturgeon,,,hard
steppe fox,steppe fox,,,hard
steppe viper,steppe viper,,,hard
sucking louse,sucking louse,,,simple
swallow,swallow,,,simple
swallowtail,swallowtail,,,normal
swan,swan,,,normal
tadpole,tadpole,,,hard
tarantula,tarantula,,,normal
tartar sand boa,tartar sand boa,,,hard
telescopus,telescopus,,,hard
termite,termite,,,normal
the beluga,the beluga,,,hard
the long-eared bat,the long-eared bat,,,hard
thrush,thrush,,,hard
thunderbird,thunderbird,,,hard
tiger,tiger,,,simple
titmouse,titmouse,,,normal
toad,toad,,,hard
tortoise,tortoise,,,simple
toucan,toucan,,,hard
trout,trout,,,normal
turkey,turkey,,,simple
turkey-cock,turkey-cock,,,normal
unicorn beetle,unicorn beetle,,,hard
viper,viper,,,hard
vobla,vobla,,,normal
vulture,vulture,,,normal
