term,value
@topic,Animals (Novice)
@author,Kazbek Byasov
@images,animals
@level,novice
butterfly,butterfly
ram,ram
snow leopard,snow leopard
hippopotamus,hippopotamus
squirrel,squirrel
white bear,white bear
beaver,beaver
ladybird,ladybird
brown bear,brown bear
bull,bull
monitor lizard,monitor lizard
camel,camel
wolf,wolf
sparrow,sparrow
crow,crow
cheetah,cheetah
hyena,hyena
tadpole,tadpole
pigeon,pigeon
rodent,rodent
caterpillar,caterpillar
goose,goose
dolphin,dolphin
earthworm,earthworm
woodpecker,woodpecker
hedgehog,hedgehog
toad,toad
giraffe,giraffe
crane,crane
hare,hare
zebra,zebra
snake,snake
turkey,turkey
kangaroo,kangaroo
whale,whale
goat,goat
kid,kid
mosquito,mosquito
cow,cow
cat,cat
crab,crab
crocodile,crocodile
rabbit,rabbit
mole,mole
rat,rat
grasshopper,grasshopper
cuckoo,cuckoo
hen,hen
lama,lama
swallow,swallow
swan,swan
lion,lion
leopard,leopard
bat,bat
fox,fox
elk,elk
horse,horse
frog,frog
bear,bear
jellyfish,jellyfish
walrus,walrus
ant,ant
fly,fly
mouse,mouse
rhinoceros,rhinoceros
monkey,monkey
sheep,sheep
eagle,eagle
wasp,wasp
donkey,donkey
octopus,octopus
peacock,peacock
panda,panda
cock,cock
penguin,penguin
parrot,parrot
bee,bee
crawfish,crawfish
fish,fish
pig,pig
scorpion,scorpion
elephant,elephant
dog,dog
owl,owl
magpie,magpie
ostrich,ostrich
dragonfly,dragonfly
gopher,gopher
calf,calf
tiger,tiger
capra,capra
seal,seal
anaconda,anaconda
snail,snail
duck,duck
flamingo,flamingo
chameleon,chameleon
hamster,hamster
heron,heron
poult,poult
gull,gull
worm,worm
tortoise,tortoise
puppy,puppy
lamb,lamb
jaguar,jaguar
yak,yak
lizard,lizard
