term,value,context,context value,level
@topic,People.Family,,,
@author,Kazbek Biasti,,,
baby,baby,,,simple
boy,boy,,,simple
bride,bride,,,simple
brothers,brothers,,,simple
children,children,,,simple
daughter,daughter,,,simple
family,family,,,simple
father,father,,,simple
girl,girl,,,simple
grandfather,grandfather,,,simple
grandmother,grandmother,,,simple
groom,groom,,,normal
husband,husband,,,normal
man,man,,,simple
mother,mother,,,simple
parents,parents,,,simple
son,son,,,simple
twins,twins,,,normal
wife,wife,,,normal
woman,woman,,,simple
