term,value
@topic,Animals.Fishes
@author,Kazbek Byasov
the beluga,the beluga
vobla,vobla
carassius veiltail,carassius veiltail
weather loach misgurnus,weather loach misgurnus
loach,loach
guppies,guppies
dolphin,dolphin
goldfish,goldfish
squid,squid
flounder,flounder
crucian,crucian
carp,carp
red ramshorn snail,red ramshorn snail
whale,whale
crab,crab
salmon,salmon
paradise fish,paradise fish
jellyfish,jellyfish
(sea) scallops,(sea) scallops
starfish,starfish
sea-horse,sea-horse
common ruffe,common ruffe
perch,perch
fish,fish
ciprinus carpio carp,ciprinus carpio carp
sardine,sardine
stellate sturgeon,stellate sturgeon
herring,herring
scalare,scalare
catfish,catfish
zander pike-perch,zander pike-perch
roach,roach
bankcod,bankcod
grig,grig
pheasant,pheasant
trout,trout
pike,pike
