term,value,context,context value,level
@topic,Humans.Body
@author,Kazbek Byasov
@set,simple
abdomen,abdomen,,,simple
ankle,ankle,,,hard
arm,arm,,,simple
armpit,armpit,,,normal
back,back,,,simple
ball,ball,,,normal
beard,beard,,,normal
big toe,big toe,,,simple
brain,brain,,,normal
buttocks,buttocks,,,normal
calf,calf,,,normal
cheek,cheek,,,simple
chest,chest,,,simple
chin,chin,,,simple
ear,ear,,,simple
elbow,elbow,,,simple
esophagus,esophagus,,,hard
eyebrow,eyebrow,,,normal
eyelashes,eyelashes,,,normal
eyelid,eyelid,,,normal
face,face,,,simple
fingernail,fingernail,,,simple
forearm,forearm,,,normal
forehead,forehead,,,simple
hair,hair,,,simple
heel,heel,,,normal
hip,hip,,,normal
index finger,index finger,,,simple
instep,instep,,,normal
iris,iris,,,hard
jaw,jaw,,,normal
knee,knee,,,simple
knuckle,knuckle,,,hard
leg,leg,,,simple
lip,lip,,,simple
little finger,little finger,,,simple
little toe,little toe,,,simple
middle finger,middle finger,,,simple
mouth,mouth,,,simple
mustache,mustache,,,normal
neck,neck,,,simple
nose,nose,,,simple
nostril,nostril,,,hard
palm,palm,,,simple
part,part,,,normal
pupil,pupil,,,hard
ring finger,ring finger,,,simple
shoulder,shoulder,,,simple
sideburn,sideburn,,,hard
spinal cord,spinal cord,,,hard
thigh,thigh,,,normal
throat,throat,,,hard
thumb,thumb,,,simple
toe,toe,,,simple
toenail,toenail,,,simple
tongue,tongue,,,simple
tooth,tooth,,,simple
upper arm,upper arm,,,simple
waist,waist,,,hard
windpipe,windpipe,,,hard
wrist,wrist,,,hard
