term,value
@topic,Animals.Insects
@author,Kazbek Byasov
butterfly,butterfly
flea,flea
mantis,mantis
ladybird,ladybird
water strider,water strider
sucking louse,sucking louse
caterpillar,caterpillar
longhorne beetle,longhorne beetle
carabus ground beetle,carabus ground beetle
bug,bug
blaps beetle,blaps beetle
grave digger,grave digger
unicorn beetle,unicorn beetle
stag beetle,stag beetle
lacewings,lacewings
white cabbage butterfly,white cabbage butterfly
acarid,acarid
bug tell-tale,bug tell-tale
mosquito,mosquito
bark beetle,bark beetle
small tortoiseshell,small tortoiseshell
forest caterpillar hunter,forest caterpillar hunter
grasshopper,grasshopper
mole-cricket,mole-cricket
centipede,centipede
moth,moth
ant,ant
fly,fly
gadfly,gadfly
wasp,wasp
zygaenidae,zygaenidae
bee,bee
locust,locust
cricket,cricket
glowworm,glowworm
horsefly,horsefly
pine moth,pine moth
dragonfly,dragonfly
cockroach,cockroach
termite,termite
aphid,aphid
bumblebee,bumblebee
