term,value
@topic,Animals.Mammals
@author,Kazbek Byasov
ram,ram
snow leopard,snow leopard
badger,badger
hippopotamus,hippopotamus
white rat,white rat
squirrel,squirrel
flying squirrel,flying squirrel
white bear,white bear
stag deer,stag deer
beaver,beaver
greyhound,greyhound
buffalo,buffalo
chipmunk,chipmunk
brown bear,brown bear
bull,bull
steer,steer
wild boar,wild boar
camel,camel
wolf,wolf
otter,otter
gazelle,gazelle
cheetah,cheetah
gibbon,gibbon
hyena,hyena
ermine,ermine
rodent,rodent
dolphin,dolphin
raccoon,raccoon
spiny anteater,spiny anteater
hedgehog,hedgehog
stallion,stallion
colt,colt
giraffe,giraffe
hare,hare
blue hare,blue hare
zebra,zebra
shrew,shrew
auroch bison,auroch bison
kangaroo,kangaroo
whale,whale
mare,mare
goat,goat
kid,kid
cow,cow
steppe fox,steppe fox
roe deer,roe deer
cat,cat
fur seal,fur seal
rabbit,rabbit
mole,mole
fruit-bat,fruit-bat
rat,rat
onager,onager
marten,marten
lama,lama
doe,doe
weasel,weasel
lion,lion
lemming,lemming
leopard,leopard
bat,bat
fox,fox
elk,elk
horse,horse
lioness,lioness
mammoth,mammoth
bear,bear
walrus,walrus
guinea-pig,guinea-pig
mule,mule
anteater,anteater
mouse,mouse
mink,mink
rhinoceros,rhinoceros
monkey,monkey
sheep,sheep
female deer,female deer
orangoutan,orangoutan
donkey,donkey
burro baby-ass,burro baby-ass
panda,panda
marbled polecat,marbled polecat
polar fox,polar fox
pika,pika
arvicolinae,arvicolinae
piglet,piglet
puma,puma
lynx,lynx
saiga,saiga
pig,pig
northern deer,northern deer
chamois,chamois
skunk,skunk
elephant,elephant
dog,dog
sable,sable
marmot,marmot
gopher,gopher
calf,calf
heifer,heifer
tiger,tiger
capra,capra
jerboa,jerboa
seal,seal
duckbill,duckbill
the long-eared bat,the long-eared bat
hamster,hamster
jackal,jackal
puppy,puppy
lamb,lamb
jaguar,jaguar
yak,yak
