term,value,context,context value,level
@topic,Miscellaneous,,,
@author,Kazbek Byasov,,,
acne,acne,,,normal
angle,angle,,,normal
anguish,anguish,,,normal
apron,apron,,,hard
back of the hand,back of the hand,,,hard
balcony,balcony,,,normal
be sick,be sick,,,simple
between,between,,,simple
blacksmith,blacksmith,,,hard
blister,blister,,,normal
boundary,boundary,,,normal
box,box,,,simple
brake,brake,,,normal
brand,brand,,,normal
brick,brick,,,simple
bride,bride,,,normal
brook,brook,,,normal
broom,broom,,,simple
bucket,bucket,,,simple
bud,bud,,,normal
buttock,buttock,,,simple
caftan,caftan,,,hard
candle,candle,,,simple
captivity,captivity,,,hard
cast iron,cast iron,,,normal
chair,chair,,,simple
cheek,cheek,,,simple
chimney,chimney,,,normal
circassian,circassian,,,normal
circle,circle,,,hard
clear,clear,,,simple
cloud,cloud,,,simple
coffee,coffee,,,simple
cone,cone,,,hard
consent,consent,,,normal
court,court,,,normal
crane,crane,,,normal
cunning,cunning,,,normal
cup,cup,,,normal
dawn,dawn,,,simple
dirty weather,dirty weather,,,normal
door,door,,,simple
earth,earth,,,simple
eat,eat,,,normal
faint,faint,,,simple
familiar,familiar,,,normal
famous,famous,,,normal
finger ring,finger ring,,,normal
fisher,fisher,,,normal
flute,flute,,,hard
forge,forge,,,normal
fraud,fraud,,,normal
fry,fry,,,simple
gems,gems,,,normal
glade,glade,,,normal
glue,glue,,,normal
goal,goal,,,simple
gravel,gravel,,,normal
greed,greed,,,normal
greek,greek,,,normal
groom,groom,,,normal
ground,ground,,,normal
gutter,gutter,,,normal
hairless,hairless,,,normal
harbor,harbor,,,hard
hawser,hawser,,,hard
heap,heap,,,normal
hearth,hearth,,,hard
hearth fence,hearth fence,,,hard
heavy,heavy,,,hard
hell-fire,hell-fire,,,normal
hematoma,hematoma,,,normal
hiccup,hiccup,,,simple
hogweed,hogweed,,,hard
honor,honor,,,normal
house,house,,,simple
hug,hug,,,simple
husband,husband,,,normal
image,image,,,normal
in turn,in turn,,,simple
inflate,inflate,,,simple
jointer,jointer,,,normal
jump,jump,,,simple
knee,knee,,,simple
kudos,kudos,,,normal
ladle,ladle,,,simple
lake,lake,,,simple
lathe,lathe,,,normal
lead,lead,,,hard
lens,lens,,,normal
lightning,lightning,,,normal
line,line,,,simple
lump,lump,,,simple
marrow,marrow,,,hard
maybe,maybe,,,simple
message,message,,,simple
mother in law,mother in law,,,normal
mumbler,mumbler,,,simple
muzzle,muzzle,,,normal
orbit,orbit,,,normal
overhang,overhang,,,normal
paddle,paddle,,,simple
pants,pants,,,simple
peak,peak,,,normal
pillar,pillar,,,simple
pooch,pooch,,,normal
prey,prey,,,normal
puke,puke,,,simple
pumice,pumice,,,normal
pupil,pupil,,,normal
rag,rag,,,simple
rock,rock,,,simple
root,root,,,simple
rope,rope,,,simple
ruby,ruby,,,normal
rust,rust,,,normal
sausage,sausage,,,simple
share,share,,,normal
sharp,sharp,,,normal
shelf,shelf,,,normal
shine,shine,,,simple
ship,ship,,,simple
shooting range,shooting range,,,normal
short,short,,,simple
shoulders ride,shoulders ride,,,normal
shovel,shovel,,,simple
silk,silk,,,normal
sky,sky,,,simple
sledgehammer,sledgehammer,,,simple
slope,slope,,,normal
slumber,slumber,,,normal
small,small,,,simple
small axe,small axe,,,normal
smog,smog,,,normal
smoked,smoked,,,normal
snout,snout,,,normal
spin,spin,,,simple
spirit,spirit,,,normal
spoon,spoon,,,simple
spot,spot,,,normal
spring,spring,,,normal
sprouts,sprouts,,,normal
stairs,stairs,,,simple
stick,stick,,,simple
storm,storm,,,normal
stump,stump,,,simple
table,table,,,normal
tan,tan,,,normal
teapot,teapot,,,simple
temptation,temptation,,,hard
thumb,thumb,,,simple
toilet,toilet,,,simple
torch,torch,,,simple
tremble,tremble,,,normal
volume,volume,,,normal
waiting,waiting,,,normal
washer,washer,,,simple
wattle,wattle,,,normal
wave,wave,,,simple
wedge,wedge,,,normal
wide,wide,,,simple
win,win,,,simple
wooden bed,wooden bed,,,normal
wrong,wrong,,,normal
yawn,yawn,,,simple
shoehorn,shoehorn,,,normal
clew,clew,,,normal
