term,value,context,context value,level
@topic,Motions
@author,Kazbek Byasov
@set,simple
amble,amble,,,hard
bounce,bounce,,,normal
bump,bump,,,simple
dance,dance,,,simple
dart,dart,,,normal
jog,jog,,,normal
laugh,laugh,,,simple
limp,limp,,,simple
lope,lope,,,normal
roll,roll,,,simple
run,run,,,simple
saunter,saunter,,,normal
scamper,scamper,,,normal
scurry,scurry,,,normal
spin,spin,,,normal
stagger,stagger,,,normal
strut,strut,,,hard
swagger,swagger,,,hard
sway,sway,,,simple
tiptoe,tiptoe,,,simple
traipse,traipse,,,normal
walk,walk,,,simple
work,work,,,simple
