term,value,context,context value,level
@author,Kazbek Biasti,,,
@topic,Nature,,,
@local_topic,Nature,,,
bay,bay,,,normal
beach,beach,,,simple
bridge,bridge,,,simple
canyon,canyon,,,simple
cave,cave,,,normal
cliff,cliff,,,normal
cloud,cloud,,,simple
coast,coast,,,simple
crater,crater,,,normal
dam,dam,,,normal
desert,desert,,,simple
dune,dune,,,normal
field,field,,,simple
flowers,flowers,,,simple
forest,forest,,,simple
glacier,glacier,,,simple
grass,grass,,,simple
ground,ground,,,simple
hill,hill,,,simple
hill,hill,,,simple
island,island,,,simple
jungle,jungle,,,normal
lake,lake,,,normal
land,land,,,simple
land,land,,,simple
leaf,leaf,,,simple
meadow,meadow,,,simple
mine,mine,,,normal
moon,moon,,,simple
moss,moss,,,normal
mountain,mountain,,,simple
mud,mud,,,simple
ocean,ocean,,,simple
park,park,,,simple
pebble,pebble,,,normal
rainbow,rainbow,,,simple
river,river,,,simple
riverbank,riverbank,,,normal
rock,rock,,,simple
sand,sand,,,simple
sea,sea,,,simple
sea shell,sea shell,,,normal
sky,sky,,,simple
soil,soil,,,simple
star,star,,,simple
stone,stone,,,simple
tree,tree,,,simple
tunnel,tunnel,,,simple
water,water,,,simple
waterfall,waterfall,,,simple
wave,wave,,,normal
whirlpool,whirlpool,,,normal
