term,value,context,context value,level
@topic,Plants,,,
@author,Kazbek Biasti,,,
acacia,acacia,,,simple
acorn,acorn,,,normal
agaric honey,agaric honey,,,hard
alder,alder,,,normal
alga,alga,,,simple
aloe,aloe,,,normal
althaea,althaea,,,hard
anemone,anemone,,,hard
angelica,angelica,,,hard
apple,apple,,,simple
apple quince,apple quince,,,simple
apple tree,apple tree,,,simple
apricot,apricot,,,simple
arrowroot,arrowroot,,,hard
asarum,asarum,,,hard
ash tree,ash tree,,,normal
aspen,aspen,,,normal
aster,aster,,,normal
astragalus,astragalus,,,normal
aubergine,aubergine,,,simple
azalea,azalea,,,normal
bamboo,bamboo,,,simple
banana,banana,,,simple
barberry,barberry,,,normal
barley,barley,,,normal
bay,bay,,,normal
beech,beech,,,normal
beet,beet,,,simple
beetroot,beetroot,,,hard
begonia,begonia,,,hard
bellflower,bellflower,,,normal
bermuda grass,bermuda grass,,,hard
bindweed,bindweed,,,normal
birch,birch,,,simple
bird cherry,bird cherry,,,normal
bittercress,bittercress,,,hard
black elderberry,black elderberry,,,hard
black pepper,black pepper,,,normal
blackberry,blackberry,,,normal
blackthorn,blackthorn,,,normal
bladder-wort,bladder-wort,,,hard
bluebell,bluebell,,,hard
blueberry,blueberry,,,normal
boletus,boletus,,,normal
bovista,bovista,,,hard
box tree,box tree,,,simple
briar,briar,,,simple
brom grass,brom grass,,,hard
bromeliad,bromeliad,,,hard
broom,broom,,,hard
brown cap boletus,brown cap boletus,,,normal
buckthorn,buckthorn,,,hard
buckwheat,buckwheat,,,normal
bur,bur,,,normal
burnet,burnet,,,hard
buttercup,buttercup,,,normal
cabbage,cabbage,,,simple
cactus,cactus,,,simple
calamus,calamus,,,hard
calla,calla,,,hard
caltrop,caltrop,,,hard
camel-thorn,camel-thorn,,,normal
camomile,camomile,,,simple
caraway,caraway,,,normal
carnation,carnation,,,normal
carrot,carrot,,,simple
caucasian rhododendron,caucasian rhododendron,,,hard
cedar,cedar,,,normal
celandine,celandine,,,normal
celery,celery,,,normal
champignon field,champignon field,,,normal
chanterelles,chanterelles,,,normal
cherry,cherry,,,simple
cherry-plum,cherry-plum,,,normal
chervil,chervil,,,hard
chestnut,chestnut,,,simple
chickweed,chickweed,,,hard
chlorophytum,chlorophytum,,,hard
chrysanthemum,chrysanthemum,,,normal
cinquefoil,cinquefoil,,,hard
clot bur,clot bur,,,hard
cloudberry,cloudberry,,,hard
clover,clover,,,normal
club moss,club moss,,,hard
cocksfoot,cocksfoot,,,hard
coconut,coconut,,,simple
colclicum magnificent,colclicum magnificent,,,hard
coltsfoot,coltsfoot,,,normal
columbine,columbine,,,hard
common buckthorn,common buckthorn,,,hard
cone,cone,,,simple
coriander,coriander,,,normal
corn,corn,,,simple
corn cockle,corn cockle,,,hard
cornel,cornel,,,simple
cornflower,cornflower,,,normal
cotton grass,cotton grass,,,hard
cotton plant,cotton plant,,,normal
couch grass,couch grass,,,normal
