term,value
@topic,Animals.Reptiles
@author,Kazbek Byasov
asp,asp
monitor lizard,monitor lizard
tartar sand boa,tartar sand boa
weather loach misgurnus,weather loach misgurnus
adder,adder
tadpole,tadpole
great crested newt,great crested newt
viper,viper
toad,toad
cobra,cobra
crocodile,crocodile
frog,frog
python,python
steppe viper,steppe viper
eft,eft
grig,grig
anaconda,anaconda
phrynocephalus mystaceus,phrynocephalus mystaceus
chameleon,chameleon
tortoise,tortoise
gloydius,gloydius
lizard,lizard
