term,value,context,context value,level
@topic,Weather,,,
@author,Kazbek Byasov,,,
autumn,autumn,season,,simple
cloudy,cloudy,,,normal
cold,cold,,,simple
cool,cool,,,normal
dry,dry,,,simple
foggy,foggy,,,simple
freezing,freezing,,,simple
hot,hot,,,simple
icy,icy,,,normal
rainy,rainy,,,simple
snowy,snowy,,,simple
spring,spring,season,,simple
summer,summer,season,,simple
sunny,sunny,,,simple
temperature,temperature,,,normal
thermometer,thermometer,,,hard
warm,warm,,,simple
wet,wet,,,normal
windy,windy,,,normal
winter,winter,season,,simple
