term,value,context,context value,level
@topic,Plants,,,
@author,Kazbek Byasov,,,
acacia,acacia,,,simple
acorn,bellota,,,normal
agaric honey,miel agárica,,,hard
alder,aliso,,,normal
alga,alga,,,simple
aloe,aloe,,,normal
althaea,althaea,,,hard
anemone,anémona,,,hard
angelica,angélica,,,hard
apple,manzana,,,simple
apple quince,membrillo,,,simple
apple tree,manzano,,,simple
apricot,albaricoque,,,simple
arrowroot,arrurruz,,,hard
asarum,asarum,,,hard
ash tree,fresno,,,normal
aspen,álamo temblón,,,normal
aster,áster,,,normal
astragalus,astrágalo,,,normal
aubergine,berenjena,,,simple
azalea,azalea,,,normal
bamboo,bambú,,,simple
banana,plátano,,,simple
barberry,agracejo,,,normal
barley,cebada,,,normal
bay,laurel,,,normal
beech,haya,,,normal
beet,remolacha,,,simple
beetroot,remolacha,,,hard
begonia,begonia,,,hard
bellflower,campanilla,,,normal
bermuda grass,hierba bermuda,,,hard
bindweed,correhuela,,,normal
birch,abedul,,,simple
bird cherry,cereza de pájaro,,,normal
bittercress,berro,,,hard
black elderberry,saúco negro,,,hard
black pepper,pimienta negra,,,normal
blackberry,mora,,,normal
blackthorn,espino negro,,,normal
bladder-wort,hierba de la vejiga,,,hard
bluebell,campanilla,,,hard
blueberry,arándano,,,normal
boletus,boletus,,,normal
bovista,bovista,,,hard
box tree,boj,,,simple
briar,brezo,,,simple
brom grass,bromo,,,hard
bromeliad,bromelia,,,hard
broom,retama,,,hard
brown cap boletus,boletus castaño,,,normal
buckthorn,espino cerval,,,hard
buckwheat,alforfón,,,normal
bur,fresa,,,normal
burnet,burnet,,,hard
buttercup,ranúnculo,,,normal
cabbage,col,,,simple
cactus,cactus,,,simple
calamus,cálamo,,,hard
calla,cala,,,hard
caltrop,cálamo,,,hard
camel-thorn,espino de camello,,,normal
camomile,manzanilla,,,simple
caraway,alcaravea,,,normal
carnation,clavel,,,normal
carrot,zanahoria,,,simple
caucasian rhododendron,rododendro del Cáucaso,,,hard
cedar,cedro,,,normal
celandine,celidonia,,,normal
celery,apio,,,normal
champignon field,champiñón de campo,,,normal
chanterelles,rebozuelos,,,normal
cherry,cerezo,,,simple
cherry-plum,cereza-ciruela,,,normal
chervil,perifollo,,,hard
chestnut,castaño,,,simple
chickweed,pamplina,,,hard
chlorophytum,clorofito,,,hard
chrysanthemum,crisantemo,,,normal
cinquefoil,cincoenrama,,,hard
clot bur,arbusto de los coágulos,,,hard
cloudberry,camemoro,,,hard
clover,trébol,,,normal
club moss,musgo club,,,hard
cocksfoot,dactilo,,,hard
coconut,coco,,,simple
colclicum magnificent,colclicum magnifico,,,hard
coltsfoot,dactilo,,,normal
columbine,columbina,,,hard
common buckthorn,espino cerval común,,,hard
cone,cono,,,simple
coriander,cilantro,,,normal
corn,maíz,,,simple
corn cockle,maíz berberecho,,,hard
cornel,maíz,,,simple
cornflower,aciano,,,normal
cotton grass,algodoncillo,,,hard
cotton plant,planta de algodón,,,normal
couch grass,grama,,,normal
cow parsnip,chirivía de vaca,,,hard
cowberry,mora de vaca,,,normal
cowberry caucasian,arándano rojo,,,hard
cranberry,arándano rojo,,,normal
crow’s eye,ojo de gallo,,,hard
cucumber,pepino,,,simple
currant,grosella,,,simple
cypress,ciprés,,,normal
dahlia,dalia,,,hard
dandelion,diente de león,,,simple
daphne,daphne,,,hard
datura,datura,,,normal
dew plant,planta de rocío,,,normal
dock,muelle,,,normal
dogwood,cornejo,,,hard
duckweed,lenteja de agua,,,normal
egg-pod,huevera,,,hard
elecampane,elecampane,,,hard
elm,olmo,,,normal
equisetum,equisetum,,,normal
erodium,erodio,,,hard
eucalyptus,eucalipto,,,normal
euonymus,euonymus,,,hard
feather grass,hierba pluma,,,normal
fennel,hinojo,,,simple
fern,helecho,,,simple
fescue grass,festuca,,,hard
field sowthistle,cardo mariano,,,hard
fig,higuera,,,simple
flax,lino,,,normal
fly-agaric,mosca agárica,,,simple
