term,value,context,context value,level
@topic,Tools,,,
@author,Kazbek Byasov,,,
bolt,perno,,,simple
nail,clavo,,,simple
screwdriver,destornillador,,,simple
bradawl,bradawl,,,simple
handsaw,sierra de mano,,,simple
nut,tuerca,,,simple
screw,tornillo,,,simple
wrench,llave,,,simple
backsaw,sierra de arco,,,simple
mallet,mazo,,,simple
hammer,martillo,,,simple
adjustable wrench,llave ajustable,,,simple
coping saw,sierra de calar,,,simple
pipe wrench,llave de tubo,,,simple
hacksaw,sierra para metales,,,simple
spirit level,nivel de burbuja,,,simple
pocketknife,navaja,,,simple
scissors,tijeras,,,simple
chainsaw,motosierra,,,simple
drill,taladro,,,simple
brace,abrazadera,,,simple
lineman’s pliers,alicates de electricista,,,simple
toolbox,caja de herramientas,,,simple
corkscrew,sacacorchos,,,simple
diagonal pliers,alicates diagonales,,,simple
tape measure,cinta métrica,,,simple
plunger,desatascador,,,simple
caulking gun,pistola de calafateo,,,simple
slip joint pliers,alicates para juntas,,,simple
stepladder,escalera de mano,,,simple
needle nose pliers,alicates de punta,,,simple
axe,hacha,,,simple
jack plane,cepillo de gato,,,simple
pliers,alicates,,,simple
