term,value,context,context value,level
@topic,Animaux,,,
@author,Kazbek Byasov,,,
@images,animals,,,
(sea) scallops,coquilles Saint-Jacques (de mer),,,hard
acarid,acaride,,,normal
adder,vipère,,,hard
ahodonta,ahodonta,,,hard
anaconda,anaconda,,,normal
ant,fourmi,,,simple
anteater,fourmilier,,,simple
aphid,aphid,,,normal
arvicolinae,arvicolinae,,,normal
asp,asp,,,hard
auroch bison,auroch bison,,,normal
badger,blaireau,,,
bankcod,bison,,,hard
bark beetle,scolyte,,,hard
bat,chauve-souris,,,simple
batoidea,batoidea,,,normal
bear,ours,,,simple
bearded vulture,vautour barbu,,,hard
beaver,castor,,,normal
bee,abeille,,,simple
bittern,butor,,,normal
black widow,veuve noire,,,normal
blackcock,bernard-l'Ours,,,normal
blaps beetle,coccinelle,,,hard
bloodsucker,suceur de sang,,,hard
blue hare,lièvre bleu,,,normal
bluethroat,lièvre bleu,,,hard
brambling,brambling,,,hard
branta,branta,,,hard
brown bear,ours brun,,,normal
buffalo,bison,,,simple
bug,bogue,,,hard
bug tell-tale,bogue,,,normal
bull,taureau,,,simple
bullfinch,bouvreuil,,,hard
bumblebee,bourdon,,,normal
burro baby-ass,burro baby-ass,,,simple
bustard,outarde,,,normal
butterfly,papillon,,,simple
buzzard,buse,,,hard
calf,veau,,,hard
camel,chameau,,,simple
canary,canari,,,normal
capra,capra,,,simple
carabus ground beetle,carabe,,,hard
carassius veiltail,carassius veiltail,,,hard
carp,carpe,,,normal
cat,chat,,,simple
caterpillar,chenille,,,hard
catfish,poisson-chat,,,hard
caucasian black grouse,tétraonidés caucasiens,,,hard
centipede,mille-pattes,,,normal
chameleon,caméléon,,,normal
chamois,chamois,,,normal
cheetah,guépard,,,normal
chipmunk,tamia,,,normal
chough,choucroute,,,hard
ciprinus carpio carp,ciprinus carpio carpe,,,hard
cobra,cobra,,,normal
cock,coq,,,simple
cockatoo,cobra,,,normal
cockroach,cafard,,,normal
colias hyade,colias hyade,,,normal
colt,colt,,,normal
common ruffe,coléoptère,,,hard
common shelduck,tadorne de Belon,,,hard
copper-butterfly,cormoran,,,hard
cormorant,cormoran,,,
corn crake,cormoran,,,hard
corydalis,corydalis,,,hard
cow,vache,,,simple
crab,crabe,,,simple
crane,grue,,,normal
crawfish,écrevisse,,,hard
cricket,grillon,,,hard
crocodile,crocodile,,,simple
crossbill,crocodile,,,normal
crow,corbeau,,,simple
crucian,crucifère,,,normal
cuckoo,coucou,,,normal
demoiselle crane,grue demoiselle,,,hard
doe,biche,,,normal
dog,chien,,,simple
dolphin,dauphin,,,normal
donkey,âne,,,simple
dragonfly,libellule,,,hard
duck,canard,,,simple
duckbill,bec de canard,,,simple
eagle,aigle,,,normal
eagle owl,aigle hibou,,,hard
earthworm,ver de terre,,,normal
eft,eft,,,hard
elephant,éléphant,,,simple
elk,élan,,,hard
ermine,hermine,,,hard
falcon,faucon,,,normal
female deer,cerf femelle,,,simple
finch,pinson,,,normal
fish,poisson,,,simple
