term,value,context,context value,level
@topic,Outils,,,
@author,Kazbek Byasov,,,
bolt,boulon,,,simple
nail,clou,,,simple
screwdriver,tournevis,,,simple
bradawl,bradawl,,,simple
handsaw,scie à main,,,simple
nut,écrou,,,simple
screw,vis,,,simple
wrench,clé,,,simple
backsaw,scie à dos,,,simple
mallet,maillet,,,simple
hammer,marteau,,,simple
adjustable wrench,clé à molette,,,simple
coping saw,scie à chantourner,,,simple
pipe wrench,clé à pipe,,,simple
hacksaw,scie à métaux,,,simple
spirit level,niveau à bulle,,,simple
pocketknife,couteau de poche,,,simple
scissors,ciseaux,,,simple
chainsaw,tronçonneuse,,,simple
drill,perceuse,,,simple
brace,attelle,,,simple
lineman’s pliers,pince de monteur de ligne,,,simple
toolbox,boîte à outils,,,simple
corkscrew,tire-bouchon,,,simple
diagonal pliers,pince diagonale,,,simple
tape measure,mètre ruban,,,simple
plunger,piston,,,simple
caulking gun,pistolet à calfeutrer,,,simple
slip joint pliers,Pince à becs crochus,,,simple
stepladder,escabeau,,,simple
needle nose pliers,pince à bec effilé,,,simple
