term,value,context,context value,level
@topic,Цæрæгойтæ,,,
@author,Kazbek Biasti,,,
(sea) scallops,денджызон сæрвасæнтæ,,,hard
acarid,гæбы,,,normal
adder,бурхъус калм,,,hard
ahodonta,беззубкæтæ,,,hard
anaconda,удав,,,normal
ant,мæлдзыг,,,simple
anteater,мæлдзыгхор,,,simple
aphid,зулкъ,,,normal
arvicolinae,быдырон мыст,,,normal
asp,аспид,,,hard
auroch bison,хъæддаг гал,,,normal
badger,зыгъарæг,,,
bankcod,треска,,,hard
bark beetle,цъархор,,,hard
bat,хæлынбыттыр,,,simple
batoidea,скат,,,normal
bear,арс,,,simple
bearded vulture,саубоцъо цæргæс,,,hard
beaver,бобр,,,normal
bee,мыдыбындз,,,simple
bittern,хæфсхор,,,normal
black widow,каракурт,,,normal
blackcock,саугарк,,,normal
blaps beetle,сындæгбыр хъæндил,,,hard
bloodsucker,цъулбер,,,hard
blue hare,урс тæрхъус,,,normal
bluethroat,варакушкæ,,,hard
brambling,вьюрок,,,hard
branta,казаркæ,,,hard
brown bear,бур арс,,,normal
buffalo,къамбец,,,simple
bug,хъæдысыст,,,hard
bug tell-tale,хъæдысыст-салдат,,,normal
bull,гал,,,simple
bullfinch,зараг цъиу,,,hard
bumblebee,хъæддаг мыдыбындз,,,normal
foal,къæлæу,,,simple
bustard,дудахъ,,,normal
butterfly,гæлæбу,,,simple
buzzard,сарыч,,,hard
calf,род,,,hard
camel,теуа,,,simple
canary,канарейкæ,,,normal
capra,дзæбидыр,,,simple
carabus ground beetle,хуры хъæндил,,,hard
carassius veiltail,вуалехвост,,,hard
carp,карп,,,normal
cat,гæды,,,simple
caterpillar,æлыз,,,hard
catfish,локо,,,hard
caucasian black grouse,кавказаг къуырмагарк,,,hard
centipede,хъусхил,,,normal
chameleon,хамелеон,,,normal
chamois,сычъи,,,normal
cheetah,гепард,,,normal
chipmunk,бурундук,,,normal
chough,клушицæ,,,hard
ciprinus carpio carp,сазан,,,hard
cobra,кобрæ,,,normal
cock,уасæг,,,simple
cockatoo,стыр тути,,,normal
cockroach,хъæбыза,,,normal
colias hyade,бургæлæбу,,,normal
colt,байраг,,,normal
common ruffe,хуымæтæджы ёрш,,,hard
common shelduck,пеганкæ,,,hard
copper-butterfly,голубянкæ,,,hard
cormorant,баклан,,,
corn crake,цъæх мæга,,,hard
corydalis,хохлаткæ,,,hard
cow,хъуг,,,simple
crab,краб,,,simple
crane,хърихъупп,,,normal
crawfish,мыдзбыр,,,hard
cricket,цъырцъыраг,,,hard
crocodile,кæфхъуындар,,,simple
crossbill,æхсынæг цъиу,,,normal
crow,халон,,,simple
crucian,тъепа,,,normal
cuckoo,гакк-гукк,,,normal
demoiselle crane,рæсугъд хърихъупп,,,hard
doe,хъуаз,,,normal
dog,куыдз,,,simple
dolphin,сæмгæф,,,normal
donkey,хæрæг,,,simple
dragonfly,цъырцъыраг,,,hard
duck,бабыз,,,simple
duckbill,бабызфындз,,,simple
eagle,цæргæс,,,normal
eagle owl,ололи,,,hard
earthworm,къæвдайы уаллон,,,normal
eft,тритон,,,hard
elephant,пыл,,,simple
elk,цæгатаг саг,,,hard
ermine,сыбираг мыстулæг,,,hard
falcon,уари,,,normal
female deer,саг,,,simple
finch,митмитгæнаг,,,normal
fish,кæсаг,,,simple
flamingo,фламинго,,,normal
flea,æхсæнкъ,,,normal
flounder,камбæлæ,,,normal
fly,бындз,,,simple
fly-catcher,бындзмар,,,normal
flying squirrel,тæхгæ æхсæрæг,,,hard
forest caterpillar hunter,тæфгæнаг хъæндил,,,hard
fox,рувас,,,simple
frog,хæфс,,,simple
fruit-bat,крылан,,,hard
fur seal,котик,,,normal
gadfly,дзынга,,,hard
gazelle,сугъахъ,,,normal
gibbon,гиббон,,,normal
giildenstadt’s redstart,сырхгуыбын горихвосткæ,,,hard
giraffe,жираф,,,simple
glass-lizard,бургуыбын,,,hard
glowworm,æрттиваг хъæндил,,,hard
gloydius,щитомордник,,,hard
goat,сæгъ,,,normal
golden eagle,беркут,,,normal
goldfish,сыгъзæрин кæсаг,,,normal
goose,хъаз,,,simple
gopher,хъулон уыры,,,hard
grasshopper,цъырцъыраг,,,hard
grave digger,мæркъахæг хъæндил,,,hard
great crested newt,сæрвасæнхуыз тритон,,,hard
greyhound,егар,,,hard
griffin,урссæр сип,,,hard
grig,калмгæсаг,,,normal
guinea-pig,денджызон хъыбыл,,,hard
gull,кæсагдзау,,,hard
guppies,гуппи,,,hard
hamster,хъулон уыры,,,hard
hare,тæрхъус,,,simple
harrier,лунь,,,hard
hawk,цъиусур,,,normal
hazel hen,дзыгъуыргарк,,,hard
hedgehog,уызын,,,simple
heifer,дыгæрдыг,,,hard
helminth intestinal worm,тъæнгты калм,,,normal
hen,карк,,,simple
heron,кæсаглас,,,normal
herring,сельд,,,hard
hippopotamus,бегемот,,,simple
hoopoe,дыгоппон,,,normal
horned owl,сидахъ,,,normal
horse,бæх,,,simple
horsefly,куырмбындз,,,hard
humming-bird,колибри,,,normal
hyena,гиенæ,,,normal
jackal,шакал,,,normal
jackdaw,сауцъиу,,,normal
jaguar,ягуар,,,normal
jay,сойкæ,,,hard
jellyfish,медузæ,,,normal
jerboa,тушкан,,,normal
kangaroo,кенгуру,,,simple
kestrel,пустельгатæ,,,hard
kid,сæныкк,,,normal
kinglet,нæзыйы цъиу,,,hard
kite,хъæрццыгъа,,,hard
lacewings,сыгъзæриндзаст,,,hard
ladybird,майрæмыкарк,,,simple
lama,ламæ,,,normal
lamb,уæрыкк,,,hard
lapwing,чибис,,,hard
lark,хæрдмæдзог цъиу,,,normal
lemming,лемминг,,,normal
leopard,леопард,,,normal
limnaeidae pond-snails,цадонтæ,,,hard
lion,домбай,,,simple
lioness,сыл домбай,,,normal
little bustard,стрепет,,,hard
lizard,гæккуыри,,,hard
loach,лыстæгцæппæр кæсаг,,,normal
locust,мæтых,,,hard
longhorne beetle,сугдзау (хъæддзау),,,normal
loon,гагарæ,,,hard
lynx,стай,,,normal
magpie,дзæгъындзæг,,,hard
mallard quack,хъæддаг бабыз,,,hard
mammoth,мамонт,,,normal
mantis,богомол,,,hard
marbled polecat,перевязкæ,,,hard
mare,ефс,,,hard
margaritana,перловицæ,,,hard
marmot,зæххы æхсæрæг,,,hard
marten,сæлавыр,,,hard
merlin arctic falcon,лацин,,,normal
mink,норкæ,,,normal
mole,куырм уыры,,,normal
mole-cricket,хъугдæй,,,normal
monitor lizard,варан,,,normal
monkey,маймули,,,simple
mosquito,къогъо,,,simple
moth,рæмпæг,,,simple
mouse,мыст,,,simple
mule,хæргæфс,,,hard
nightingale,булæмæргъ,,,normal
nightjar,сæгъдуц,,,hard
northern deer,цæгатаг саг,,,hard
nuthatch,бырæг цъиу,,,hard
octopus,асткъахыг,,,normal
onager,кулан,,,normal
orangoutan,орангутанг,,,normal
oriole,бурцъиу,,,hard
ostrich,страус,,,simple
otter,уырд,,,hard
owl,уыг,,,simple
panda,пандæ,,,normal
paradise fish,макропод,,,hard
parrot,тути,,,simple
partridge,хуыргарк,,,normal
peacock,мæлхъ,,,normal
pearl-hen,цицыр,,,normal
pelican,пеликан,,,normal
penguin,пингвин,,,simple
perch,окунь,,,hard
pheasant,сындзы уасæг,,,hard
phiclides podalirius,подалири,,,hard
phrynocephalus mystaceus,тымбылсæр хъусой,,,hard
pied bushchat,уыгæрдæны чыкгæнæг,,,hard
pig,хуы,,,simple
pigeon,бæлон (хæдзарон),,,simple
piglet,хъыбыл,,,simple
pika,пищухæ,,,hard
pike,хихор,,,hard
pine moth,нæзыйы цыллæйы калм,,,hard
pink starling,мæтæгхуыз сауцъиу,,,hard
pipit,конёк,,,normal
platyfish,меченосец,,,hard
polar fox,цæгатаг рувас,,,hard
poult,цъиу,,,simple
puma,пумæ,,,normal
puppy,къæбыла,,,simple
python,питон,,,hard
quail,уæрцц,,,normal
rabbit,хæдзарон тæрхъус,,,simple
raccoon,енот,,,normal
ram,фыр,,,simple
rat,уыры,,,simple
red ramshorn snail,катушкæтæ,,,normal
red-footed falcon,кобчик,,,hard
redstart,буркъæдзил цъиу,,,hard
rhinoceros,сыкъафындз,,,normal
roach,тъаран,,,normal
rodent,æхсынæг,,,normal
roe deer,сæгуыт,,,simple
rook,цъиах,,,normal
ruddy shelduck,огар,,,hard
sable,сыбираг сæлавыр,,,hard
