term,value,context,context value,level
@topic,Мæргътæ
@author,Kazbek Byasov
bearded vulture,саубоцъо цæргæс,,,normal
bittern,хæфсхор,,,normal
blackcock,саугарк,,,normal
bluethroat,варакушкæ,,,hard
brambling,вьюрок,,,normal
branta,казаркæ,,,hard
bullfinch,зараг цъиу,,,normal
bustard,дудахъ,,,normal
buzzard,сарыч,,,normal
canary,канарейкæ,,,simple
caucasian black grouse,кавказаг къуырмагарк,,,hard
chough,клушицæ,,,hard
cock,уасæг,,,simple
cockatoo,стыр тути,,,normal
common shelduck,пеганкæ,,,hard
cormorant,баклан,,,hard
corn crake,цъæх мæга,,,hard
crane,хърихъупп,,,simple
crossbill,æхсынæг цъиу,,,hard
crow,халон,,,simple
cuckoo,гакк-гукк,,,simple
demoiselle crane,рæсугъд хърихъупп,,,normal
duck,бабыз,,,simple
duckbill,бабызфындз,,,normal
eagle,цæргæс,,,simple
eagle owl,ололи,,,normal
falcon,уари,,,simple
finch,митмитгæнаг,,,normal
flamingo,фламинго,,,simple
fly-catcher,бындзмар,,,hard
giildenstadt’s redstart,сырхгуыбын горихвосткæ,,,hard
golden eagle,беркут,,,simple
goose,хъаз,,,simple
griffin,урссæр сип,,,hard
gull,кæсагдзау,,,normal
harrier,лунь,,,hard
hawk,цъиусур,,,normal
hazel hen,дзыгъуыргарк,,,normal
hen,карк,,,simple
heron,кæсаглас,,,simple
hoopoe,дыгоппон,,,normal
horned owl,сидахъ,,,hard
humming-bird,колибри,,,simple
jackdaw,сауцъиу,,,normal
jay,сойкæ,,,normal
kestrel,пустельгатæ,,,hard
kinglet,нæзыйы цъиу,,,normal
kite,хъæрццыгъа,,,simple
lapwing,чибис,,,hard
lark,хæрдмæдзог цъиу,,,normal
little bustard,стрепет,,,normal
loon,гагарæ,,,normal
magpie,дзæгъындзæг,,,simple
mallard quack,хъæддаг бабыз,,,hard
merlin arctic falcon,лацин,,,hard
nightingale,булæмæргъ,,,simple
nightjar,сæгъдуц,,,hard
nuthatch,бырæг цъиу,,,hard
oriole,бурцъиу,,,normal
owl,уыг,,,simple
parrot,тути,,,simple
partridge,хуыргарк,,,normal
peacock,мæлхъ,,,simple
pearl-hen,цицыр,,,normal
penguin,пингвин,,,simple
pheasant,сындзы уасæг,,,normal
pied bushchat,уыгæрдæны чыкгæнæг,,,hard
pigeon,бæлон,,,simple
pink starling,мæтæгхуыз сауцъиу,,,normal
pipit,конёк,,,normal
poult,цъиу,,,simple
quail,уæрцц,,,normal
redstart,буркъæдзил цъиу,,,hard
rook,цъах,,,normal
ruddy shelduck,огар,,,hard
sand martin,чъима,,,normal
sandspiper,доны ацц,,,hard
snipe,мæга,,,hard
snow bunting,пуночкæ,,,hard
snowcock,зым,,,normal
snowy owl,урс уыг,,,normal
sparrow,сырддонцъиу,,,simple
spotted nutcracker,сыбираг халон,,,hard
starling,саумæлгъ,,,normal
swallow,зæрватыкк,,,simple
swan,доныхъаз,,,simple
the long-eared bat,хъусой,,,hard
thrush,нæмыгхор,,,simple
thunderbird,уадфидиуæг,,,normal
titmouse,дзывылдар,,,normal
toucan,тукан,,,normal
turkey,сыл гогыз,,,simple
turkey-cock,нæл гогыз,,,simple
vulture,хæдмæлхор,,,simple
white partridge,урс хуыргарк,,,hard
wood-grouse,къуырмагарк,,,normal
woodcock,хъæды мæга,,,hard
woodpecker,хъæдхой,,,simple
wryneck,къубалтил,,,hard
