term,value
@topic,Уырынгонтæ
@author,Kazbek Byasov
butterfly,гæлæбу
flea,æхсæнкъ
mantis,богомол
ladybird,майрæмыкарк
water strider,донбарджытæ
sucking louse,сыст
caterpillar,æлыз
longhorne beetle,сугдзау (хъæддзау)
carabus ground beetle,хуры хъæндил
bug,хъæдысыст
blaps beetle,сындæгбыр хъæндил
grave digger,мæркъахæг хъæндил
unicorn beetle,сыкъафындз хъæндил
stag beetle,хъæндил-саг
lacewings,сыгъзæриндзаст
white cabbage butterfly,къабускахор
acarid,гæбы
bug tell-tale,хъæдысыст-салдат
mosquito,къогъо
bark beetle,цъархор
small tortoiseshell,пысырайы гæлæбу
forest caterpillar hunter,тæфгæнаг хъæндил
grasshopper,цъырцъыраг
mole-cricket,хъугдæй
centipede,хъусхил
moth,рæмпæг
ant,мæлдзыг
fly,бындз
gadfly,дзынга
wasp,дыдынбындз
zygaenidae,хъулон гæлæбу
bee,мыдыбындз
locust,мæтых
cricket,цъырцъыраг
glowworm,æрттиваг хъæндил
horsefly,куырмбындз
pine moth,нæзыйы цыллæйы калм
dragonfly,цъырцъыраг
cockroach,хъæбыза
termite,термит
aphid,зулкъ
bumblebee,хъæддаг мыдыбындз
