term,value,context,context value,level
@topic,Зайæгойтæ,,,
@author,Kazbek Biasti,,,
acacia,акъаци,,,simple
acorn,гыркъо,,,normal
agaric honey,мæнг опёнок,,,hard
alder,фæрв,,,normal
alga,донгæрдæг,,,simple
aloe,сындздидинæг,,,normal
althaea,галысыф,,,hard
anemone,гæдыных,,,hard
angelica,дягиль,,,hard
apple,фæткъуы,,,simple
apple quince,къомси,,,simple
apple tree,фæткъуыбæлас,,,simple
apricot,абрикос,,,simple
arrowroot,марантæ,,,hard
asarum,бæхы сæфтæг,,,hard
ash tree,кæрз,,,normal
aspen,урс гæды бæлас,,,normal
aster,астрæ,,,normal
astragalus,букъа,,,normal
aubergine,баклажан,,,simple
azalea,залгъæд,,,normal
bamboo,хурхъæз,,,simple
banana,банан,,,simple
barberry,тырты,,,normal
barley,хъæбæрхор,,,normal
bay,лавр,,,normal
beech,тæгæр,,,normal
beet,цæхæра,,,simple
beetroot,джитъригæрдæг,,,hard
begonia,бегони,,,hard
bellflower,уиззайы сæр,,,normal
bermuda grass,астымгæрдæг,,,hard
bindweed,лывдзæг,,,normal
birch,бæрз,,,simple
bird cherry,къæбырттæг,,,normal
bittercress,сурепкæ,,,hard
black elderberry,фæдæгъд,,,hard
black pepper,бырц,,,normal
blackberry,саунæмыг,,,normal
blackthorn,какон сындз,,,normal
bladder-wort,къуыллыфгæрдæг,,,hard
bluebell,цъæх малусæг,,,hard
blueberry,къабузæг,,,normal
boletus,боровик,,,normal
bovista,парховкæ,,,hard
box tree,чесæ,,,simple
briar,уагъылы,,,simple
brom grass,мæрхæг,,,hard
bromeliad,бромели,,,hard
broom,æ,,,hard
brown cap boletus,бæрзбынызокъо,,,normal
buckthorn,бурæгъæд,,,hard
buckwheat,сауфагæ,,,normal
bur,ичъи,,,normal
burnet,тугцъир,,,hard
buttercup,хурхæтæны бур дидинæг,,,normal
cabbage,къабуска,,,simple
cactus,кактус,,,simple
calamus,аир,,,hard
calla,урсбазыр,,,hard
caltrop,доны æхсæр,,,hard
camel-thorn,теуайы сындз,,,normal
camomile,æхсæнкъгæрдæг,,,simple
caraway,цъамалæг,,,normal
carnation,даричин,,,normal
carrot,уырыдзы,,,simple
caucasian rhododendron,фугæ,,,hard
cedar,кедр,,,normal
celandine,чехаг сырхыхос,,,normal
celery,маламар,,,normal
champignon field,тамазокъо,,,normal
chanterelles,рувас-зокъо,,,normal
cherry,адджын бал,,,simple
cherry-plum,æхсынцъы,,,normal
chervil,гæнгæлы,,,hard
chestnut,сабæлут,,,simple
chickweed,звездчаткæ,,,hard
chlorophytum,хлорофитум,,,hard
chrysanthemum,хризантемæ,,,normal
cinquefoil,лапчаткæ,,,hard
clot bur,къæмдзыг,,,hard
cloudberry,сыхсы,,,hard
clover,æртæсыфон,,,normal
club moss,рувасгæрдæг,,,hard
cocksfoot,ежа,,,hard
coconut,кокос,,,simple
colclicum magnificent,куыдзы нуры,,,hard
coltsfoot,дзыккайы сыф,,,normal
columbine,водосбор,,,hard
common buckthorn,сылмыртгæ,,,hard
cone,къуызыр,,,simple
coriander,кориандр,,,normal
corn,нартхор,,,simple
corn cockle,мæгъæлда,,,hard
cornel,цым,,,simple
cornflower,æрвдидинæг,,,normal
cotton grass,пушицæ,,,hard
cotton plant,бæмбæджы къудзи,,,normal
couch grass,цъиахгæрдæг,,,normal
cow parsnip,сæнк,,,hard
cowberry,мæцкъуы,,,normal
cowberry caucasian,донсаунæмыг,,,hard
cranberry,туацъынæмыг,,,normal
crow’s eye,халоны цæст,,,hard
cucumber,джитъри,,,simple
currant,хъæлæрдзы,,,simple
cypress,кипарис,,,normal
dahlia,картофгæрдæг,,,hard
dandelion,къаппа-къуппа,,,simple
daphne,куыдзы гага,,,hard
datura,æррагæрдæг,,,normal
dew plant,росянкæ,,,normal
dock,хуырхæг,,,normal
dogwood,свидинæ,,,hard
duckweed,малгæрдæг,,,normal
egg-pod,кубышкæ,,,hard
elecampane,тоблахъ,,,hard
elm,сывылдз,,,normal
equisetum,назгæрдæг,,,normal
erodium,кæсагласгæрдæг,,,hard
eucalyptus,эвкалипт,,,normal
euonymus,дзæлв,,,hard
feather grass,хæмыцырихи,,,normal
fennel,хъонтхора,,,simple
fern,цилгæрдæг,,,simple
fescue grass,типчак,,,hard
field sowthistle,хæрæгсындз,,,hard
fig,легъуи,,,simple
flax,гæн,,,normal
fly-agaric,бындзмар,,,simple
forget-me-not,незабудкæ,,,normal
foxglove,наперстянкæ,,,hard
foxtail,рувас-къæдзил,,,hard
gagea,хъазы хъæдындз,,,hard
garden cress watercress,дудгæ,,,normal
garlic,нуры,,,simple
gentian,къæдзнизы хос,,,hard
geranium,сургæнæн,,,normal
ginseng,кæрдæгхос,,,hard
gledichia,сæгъы сыкъа,,,hard
globe-flower,купальницæ,,,hard
gooseberry,хъалгъæн,,,simple
grape,сæнæфсир,,,simple
grape,сæнæфсир,,,simple
grassy elderberry,бæрæзе,,,hard
haircap,гакк-гуккы гæн,,,hard
haricot,хъæдур,,,simple
hawthorn,дурвæткъуы,,,hard
hazel,æхсæрхъæд,,,normal
heather,вереск,,,normal
hellebore,кæндыс,,,hard
hemlock,тæкъуындела,,,hard
hemp,гæн,,,normal
henbane,къусбын,,,hard
herd’s grass,гæдыйы дымæг,,,normal
highlander alpine,захъайы хъоло,,,hard
holly,падуб,,,hard
honey agaric,опёнок,,,hard
honey-suckle,сæгъымæцъ,,,normal
hop,хуымæллæг,,,normal
hornbeam,фатхъæд,,,normal
horse radish,туттургъан,,,normal
iris,ирис,,,normal
ivy,дзæгъæлдзу,,,normal
jasmine,сагхъæд,,,normal
juniper,æхсæлы,,,normal
labrador tea,багульник,,,normal
larch,сыфнæзы,,,normal
lemon,лимон,,,simple
lentil,лыстæг хъæдур,,,normal
leucanthemum,дзедзыкка,,,hard
liana,лианæ,,,normal
lichen,хъуынагæрдæг,,,hard
licorice,хуыфæджы хос,,,hard
lilac,сирен,,,simple
lily,хъоппæг,,,simple
lily of the valley,джыджына,,,normal
linden,сусхъæд,,,normal
lotus,лотос,,,normal
lungwort,медуницæ,,,hard
luzula,ожикæ,,,hard
lychnis,уалдзыгон æндæдзаг кæрдæг,,,hard
madder,беу,,,hard
magnolia,магноли,,,normal
mallow,бæгъа,,,hard
maple,тæгæр бæлас,,,normal
marigold,бархæттæ,,,hard
marrow,кабачок,,,simple
marsh marigold,калужницæ,,,hard
meadow geranium,калмгæрдæг,,,hard
meadow grass,дзедзро,,,normal
meadowrue,бæхырагъыхос,,,hard
medlar,мугæ,,,normal
melicot,донник,,,hard
melon,неси,,,simple
milfoil,æрдзæсыфон,,,normal
millet,еуу,,,normal
mimosa,мимозæ,,,normal
mistletoe,карчыкъах,,,hard
monkey-bread,баобаб,,,normal
moss,хъуына,,,simple
mountain ash,цъуй,,,normal
movel,æнцъылдтæ зокъо,,,normal
mulberry,тута бæлас,,,normal
mullein,галæвзаг,,,hard
mushrooms,зокъо,,,simple
mustard,хъыцъы,,,normal
narcissus,нарцисс,,,simple
nettle,пысыра,,,simple
oak,тулдз,,,simple
oats,сысджы,,,normal
oleander,олеандр,,,hard
olive,маслинæ,,,normal
onion,хъæдындз,,,simple
orange,апелсин,,,simple
orange cap boletus,сырх зокъо,,,normal
orchid,орхидейæ,,,normal
orchis,æнæзæнæджыхос,,,hard
oregam,цайгæрдæг,,,normal
palm,палмæ,,,simple
palmcrist,гæбыхъæдур,,,hard
parsley,басгæрдæг,,,simple
pasqueflower,гом прострел,,,hard
patsy,мæнтæг,,,simple
peach tree,алтъами,,,simple
pear,кæрдо,,,simple
peas,тымбылхъæдур,,,simple
peas mouse,мысты хъæдур,,,hard
peony,пион,,,normal
pepper,цывзы,,,simple
pepper-mint,битъына,,,normal
persimmon,хурма,,,simple
pine,нæзы,,,simple
plantain,дугъысыф,,,simple
plum,чылауи,,,simple
pomegranate,гранат,,,simple
poplar,гæды бæлас,,,simple
poppy,зырзыраг,,,normal
potato,картоф,,,simple
primrose,фыццагдидин,,,hard
puffball,уарыны зокъо,,,hard
pumpkin,нас,,,simple
purslane,портулак,,,hard
pussy-willow,донхæрис,,,simple
quinoa,футæг,,,normal
radish,мæймæбулкъ,,,simple
raspberry,мæнæргъы,,,simple
reed,хъæз,,,normal
reed mace,хъæз,,,simple
rhubarb,ревен,,,hard
rice,пырындз,,,simple
rose,мæтæг,,,simple
russule,уымæлхор,,,hard
rutabaga,урс къуымбыл,,,hard
rye,хлепа,,,normal
saffron milk cap,бурдзалыг зокъо,,,hard
