term,value,context,context value,level
@topic,Животные,,,
@author,Kazbek Byasov,,,
@images,animals,,,
(sea) scallops,морские гребешки,,,hard
acarid,клещ,,,normal
adder,уж,,,hard
ahodonta,беззубки,,,hard
anaconda,удав,,,normal
ant,муравей,,,simple
anteater,муравьед,,,simple
aphid,тля,,,normal
arvicolinae,полевка,,,normal
asp,аспид,,,hard
auroch bison,зубр,,,normal
badger,барсук,,,
bankcod,треска,,,hard
bark beetle,короед,,,hard
bat,летучая мышь,,,simple
batoidea,скат,,,normal
bear,медведь,,,simple
bearded vulture,бородач,,,hard
beaver,бобр,,,normal
bee,пчела,,,simple
bittern,выпь,,,normal
black widow,каракурт,,,normal
blackcock,тетерев,,,normal
blaps beetle,жук-медляк,,,hard
bloodsucker,пиявка,,,hard
blue hare,заяц-беляк,,,normal
bluethroat,варакушка,,,hard
brambling,вьюрок,,,hard
branta,казарка,,,hard
brown bear,бурый медведь,,,normal
buffalo,буйвол,,,simple
bug,клоп,,,hard
bug tell-tale,клоп-солдатик,,,normal
bull,бык,,,simple
bullfinch,снегирь,,,hard
bumblebee,шмель,,,normal
foal,ослик,,,simple
bustard,дрофа,,,normal
butterfly,бабочка,,,simple
buzzard,сарыч,,,hard
calf,телёнок,,,hard
camel,верблюд,,,simple
canary,канарейка,,,normal
capra,тур,,,simple
carabus ground beetle,жужелица,,,hard
carassius veiltail,вуалехвост,,,hard
carp,карп,,,normal
cat,кот,,,simple
caterpillar,гусеница,,,hard
catfish,сом,,,hard
caucasian black grouse,кавказский тетерев,,,hard
centipede,сороконожка,,,normal
chameleon,хамелеон,,,normal
chamois,серна,,,normal
cheetah,гепард,,,normal
chipmunk,бурундук,,,normal
chough,клушица,,,hard
ciprinus carpio carp,сазан,,,hard
cobra,кобра,,,normal
cock,петух,,,simple
cockatoo,какаду,,,normal
cockroach,таракан,,,normal
colias hyade,желтушка,,,normal
colt,жеребёнок,,,normal
common ruffe,обыкновенный ёрш,,,hard
common shelduck,пеганка,,,hard
copper-butterfly,голубянка,,,hard
cormorant,баклан,,,
corn crake,коростель,,,hard
corydalis,хохлатка,,,hard
cow,корова,,,simple
crab,краб,,,simple
crane,журавль,,,normal
crawfish,рак,,,hard
cricket,сверчок,,,hard
crocodile,крокодил,,,simple
crossbill,клест,,,normal
crow,ворона,,,simple
crucian,карась,,,normal
cuckoo,кукушка,,,normal
demoiselle crane,журавль-красавка,,,hard
doe,лань,,,normal
dog,собака,,,simple
dolphin,дельфин,,,normal
donkey,осёл,,,simple
dragonfly,стрекоза,,,hard
duck,утка,,,simple
duckbill,утконос,,,simple
eagle,орёл,,,normal
eagle owl,филин,,,hard
earthworm,дождевой червь,,,normal
eft,тритон,,,hard
elephant,слон,,,simple
elk,лось,,,hard
ermine,горностай,,,hard
falcon,сокол,,,normal
finch,зяблик,,,normal
fish,рыба,,,simple
flamingo,фламинго,,,normal
flea,блоха,,,normal
flounder,камбала,,,normal
fly,муха,,,simple
fly-catcher,мухоловка,,,normal
flying squirrel,белка-летяга,,,hard
forest caterpillar hunter,красотел пахучий,,,hard
fox,лиса,,,simple
frog,лягушка,,,simple
fruit-bat,крылан,,,hard
fur seal,котик,,,normal
gadfly,овод,,,hard
gazelle,джейран,,,normal
gibbon,гиббон,,,normal
giildenstadt’s redstart,краснобрюхая горихвостка,,,hard
giraffe,жираф,,,simple
glass-lizard,желтопузик,,,hard
glowworm,светлячок,,,hard
gloydius,щитомордник,,,hard
goat,коза,,,normal
golden eagle,беркут,,,normal
goldfish,золотая рыбка,,,normal
goose,гусь,,,simple
gopher,суслик,,,hard
grasshopper,кузнечик,,,hard
grave digger,жук-могильщик,,,hard
great crested newt,гребенчатый тритон,,,hard
greyhound,борзая,,,hard
griffin,белоголовый сип,,,hard
grig,угорь,,,normal
guinea-pig,морская свинка,,,hard
gull,чайка,,,hard
guppies,гуппи,,,hard
hamster,хомяк,,,hard
hare,заяц,,,simple
harrier,лунь,,,hard
hawk,ястреб,,,normal
hazel hen,рябчик,,,hard
hedgehog,ёж,,,simple
heifer,тёлка,,,hard
helminth intestinal worm,глист,,,normal
hen,курица,,,simple
heron,цапля,,,normal
herring,сельд,,,hard
hippopotamus,бегемот,,,simple
hoopoe,удод,,,normal
horned owl,сыч,,,normal
horse,лошадь,,,simple
horsefly,слепень,,,hard
humming-bird,колибри,,,normal
hyena,гиена,,,normal
jackal,шакал,,,normal
jackdaw,галка,,,normal
jaguar,ягуар,,,normal
jay,сойка,,,hard
jellyfish,медуза,,,normal
jerboa,тушканчик,,,normal
kangaroo,кенгуру,,,simple
kestrel,пустельги,,,hard
kid,козлёнок,,,normal
kinglet,королёк,,,hard
kite,коршун,,,hard
lacewings,златоглазки,,,hard
ladybird,божья коровка,,,simple
lama,лама,,,normal
lamb,ягнёнок,,,hard
lapwing,чибис,,,hard
lark,жаворонок,,,normal
lemming,лемминг,,,normal
leopard,леопард,,,normal
