term,value,context,context value,level
@topic,Птицы,,,
@author,Kazbek Byasov,,,
cormorant,баклан,,,hard
snipe,бекас,,,hard
white partridge,белая куропатка,,,hard
snowy owl,белая сова,,,normal
griffin,белоголовый сип,,,hard
golden eagle,беркут,,,simple
bearded vulture,бородач,,,normal
thunderbird,буревестник,,,normal
woodcock,вальдшнеп,,,hard
bluethroat,варакушка,,,hard
wryneck,вертишейка,,,hard
sparrow,воробей,,,simple
crow,ворона,,,simple
bittern,выпь,,,normal
brambling,вьюрок,,,normal
loon,гагара,,,normal
jackdaw,галка,,,normal
wood-grouse,глухарь,,,normal
pigeon,голубь,,,simple
redstart,горихвостка,,,hard
rook,грач,,,normal
vulture,стервятник,,,simple
goose,гусь,,,simple
thrush,дрозд,,,simple
bustard,дрофа,,,normal
woodpecker,дятел,,,simple
lark,жаворонок,,,normal
crane,журавль,,,simple
demoiselle crane,журавль-красавка,,,normal
finch,зяблик,,,normal
oriole,иволга,,,normal
turkey,индейка,,,simple
turkey-cock,индюк,,,simple
caucasian black grouse,кавказский тетерев,,,hard
branta,казарка,,,hard
cockatoo,какаду,,,normal
canary,канарейка,,,simple
buzzard,сарыч,,,normal
spotted nutcracker,кедровка,,,hard
crossbill,клест,,,hard
chough,клушица,,,hard
nightjar,козодой,,,hard
humming-bird,колибри,,,simple
kinglet,королёк,,,normal
corn crake,коростель,,,hard
kite,коршун,,,simple
giildenstadt’s redstart,краснобрюхая горихвостка,,,hard
merlin arctic falcon,кречет,,,hard
mallard quack,кряква,,,hard
cuckoo,кукушка,,,simple
sandspiper,кулик,,,hard
hen,курица,,,simple
partridge,куропатка,,,normal
swallow,ласточка,,,simple
swan,лебедь,,,simple
pied bushchat,луговой чекан,,,hard
harrier,лунь,,,hard
fly-catcher,мухоловка,,,hard
ruddy shelduck,огарь,,,hard
eagle,орёл,,,simple
peacock,павлин,,,simple
common shelduck,пеганка,,,hard
quail,перепел,,,normal
penguin,пингвин,,,simple
nuthatch,поползень,,,hard
parrot,попугай,,,simple
snow bunting,пуночка,,,hard
kestrel,пустельга,,,hard
pink starling,розовый скворец,,,normal
hazel hen,рябчик,,,normal
titmouse,синица,,,normal
starling,скворец,,,normal
bullfinch,снегирь,,,normal
owl,сова,,,simple
jay,сойка,,,normal
falcon,сокол,,,simple
nightingale,соловей,,,simple
magpie,сорока,,,simple
little bustard,стрепет,,,normal
sand martin,стриж,,,normal
horned owl,сыч,,,hard
blackcock,тетерев,,,normal
toucan,тукан,,,normal
hoopoe,удод,,,normal
snowcock,улар,,,normal
duck,утка,,,simple
duckbill,утконос,,,normal
the long-eared bat,ушан,,,hard
pheasant,фазан,,,normal
eagle owl,филин,,,normal
flamingo,фламинго,,,simple
heron,цапля,,,simple
pearl-hen,цесарка,,,normal
poult,цыплёнок,,,simple
gull,чайка,,,normal
lapwing,чибис,,,hard
hawk,ястреб,,,normal
pipit,конёк,,,normal
cock,петух,,,simple
