term,value,context,context value,level
@topic,Цвета,,,
@author,Kazbek Byasov,,,
red,красный,,,simple
blue,синий,,,simple
green,зеленый,,,simple
yellow,желтый,,,simple
purple,пурпурный,,,normal
pink,розовый,,,simple
orange,оранжевый,,,simple
brown,коричневый,,,simple
black,черный,,,simple
white,белый,,,simple
gray,серый,,,simple
gold,золотой,,,normal
silver,серебрянный,,,normal
navy blue,темно синий,,,normal
sky blue,голубой,,,simple
lime green,лимонно-зеленый,,,hard
teal,бирюзовый,,,hard
indigo,индиго,,,hard
magenta,пурпурный,,,hard
violet,фиолетовый,,,simple
khaki,хаки,,,normal
crimson,малиновый,,,normal
lavender,лавандовый,,,hard
plum,сливовый,,,hard
blue violet,сине-фиолетовый,,,hard
olive,оливковый,,,hard
cyan,голубой,,,simple
maroon,бордовый,,,normal
beige,бежевый,,,normal
salmon,оранжево-розовый,,,hard
