term,value,context,context value,level
@topic,Семья,,,
@author,Kazbek Byasov,,,
baby,малыш,,,simple
boy,мальчик,,,simple
bride,невеста,,,simple
brothers,братья,,,simple
children,дети,,,simple
daughter,дочь,,,simple
family,семья,,,simple
father,отец,,,simple
girl,девочка,,,simple
grandfather,дедушка,,,simple
grandmother,бабушка,,,simple
groom,жених,,,normal
husband,муж,,,normal
man,мужчина,,,simple
mother,мать,,,simple
parents,родители,,,simple
son,сын,,,simple
twins,близнецы,,,normal
wife,жена,,,normal
woman,женщина,,,simple
