term,value,context,context value,level
@topic,Человек.Тело,,,
@author,Kazbek Byasov,,,
face,лицо,,,simple
mouth,рот,,,simple
chin,подбородок,,,simple
neck,шея,,,simple
shoulder,плечо,,,simple
arm,рука,,,simple
upper arm,плечо,,,simple
elbow,локоть,,,simple
forearm,предплечье,,,normal
armpit,подмышка,,,normal
back,спина,,,simple
chest,грудь,,,simple
waist,талия,,,hard
abdomen,живот,,,simple
buttocks,ягодицы,,,normal
hip,бедро,,,normal
leg,нога,,,simple
thigh,бедро,,,normal
knee,колено,,,simple
calf,голень,,,normal
wrist,запястье,,,hard
knuckle,костяшка,,,hard
fingernail,ноготь,,,simple
thumb,большой палец,,,simple
index finger,указательный палец,,,simple
middle finger,средний палец,,,simple
ring finger,безымянный палец,,,simple
little finger,мизинец,,,simple
palm,ладонь,,,simple
hair,волосы,,,simple
part,головная часть,,,normal
forehead,лоб,,,simple
sideburn,бакенбарды,,,hard
ear,ухо,,,simple
cheek,щека,,,simple
nose,нос,,,simple
nostril,ноздря,,,hard
jaw,челюсть,,,normal
beard,борода,,,normal
mustache,усы,,,normal
tongue,язык,,,simple
tooth,зуб,,,simple
lip,губа,,,simple
eyebrow,бровь,,,normal
eyelid,веко,,,normal
eyelashes,ресницы,,,normal
iris,радужная оболочка,,,hard
pupil,зрачок,,,hard
ankle,лодыжка,,,hard
heel,пятка,,,normal
instep,подъем,,,normal
ball,подушечка,,,normal
big toe,большой палец,,,simple
toe,палец,,,simple
little toe,мизинец,,,simple
toenail,ноготь,,,simple
brain,мозг,,,normal
spinal cord,спинной мозг,,,hard
throat,глотка,,,hard
windpipe,трахея,,,hard
esophagus,пищевод,,,hard
