term,value
@topic,Цæрæгойтæ
@author,Kazbek Byasov
asp,аспид
butterfly,гæбæло
cormorant,баклан
ram,фур
snow leopard,мусу
badger,дзæгъарæг
hippopotamus,бегемот
ahodonta,æдæндæгтæ
snipe,мæга
white rat,уорс гæлæу
white partridge,уорс хургарк
snowy owl,уорс уг
squirrel,туртуна
flying squirrel,тæхагæ æхсæрсæттæг
griffin,уорссæр сип
the beluga,уорсгæф
white bear,уорс арс
golden eagle,беркут
stag deer,сæрбæрзонд саг
flea,æхсæукъæ
beaver,бобр
mantis,богомол
ladybird,хани кизгæ
greyhound,егар
bearded vulture,саубецъо цæргæс
buffalo,къамбец
thunderbird,денгизон уарий
chipmunk,бурундук
brown bear,бор-мора арс
bull,гал
steer,иуонæг
woodcock,гъæди мæга
bluethroat,варакушкæ
monitor lizard,варан
wild boar,тускъа
camel,теуа
wryneck,хъуртелой
vobla,воблæ
water strider,хуæдмæлхуар систæ
wolf,берæгъ
sparrow,æхсæрæцъеу
crow,халон
tartar sand boa,хорискæсæйнаг æлвасхелагæ
sucking louse,систæ
carassius veiltail,вуалехвост
otter,урдæ
bittern,хæпсæхуар
weather loach misgurnus,тæлфой кæсалгæ
brambling,вьюрок
loon,гагарæ
adder,боргъос хелагæ
gazelle,сугахъ
jackdaw,сауцъеу
cheetah,гепард
gibbon,гиббон
hyena,гиенæ
helminth intestinal worm,хæлæртти золкъæ
wood-grouse,хъургарк
loach,тъепа
tadpole,утъир
pigeon,бæлæу
copper-butterfly,голубянкæ
redstart,боркъæдзелæ цъеу
ermine,сибийраг æрвгæ
rook,цъах
great crested newt,сæрвасæнхуз тритон
vulture,хуæдмæлхуар
rodent,æхсинæг
guppies,гуппи
caterpillar,æлуиз
goose,хъаз
viper,гюрза
dolphin,æргъеугæф
earthworm,уаруни золкъæ
longhorne beetle,гъæдхуар
thrush,нæмугхуар
bustard,дудахъ
woodpecker,гъæдкъуæр
raccoon,енот
spiny anteater,ехиднæ
hedgehog,узун
toad,гъуæрддун хæпсæ
lark,нигъули
glass-lizard,борхъæстæ æнкъуæлхæ
colias hyade,бор гæбæло
stallion,урс
colt,байраг
giraffe,жираф
carabus ground beetle,хуари хъæбуза
bug,гъæдисистæ
blaps beetle,жук-медляк
grave digger,хуæдмæлхуар хъæбуза
unicorn beetle,сиукъафий хъæбуза
stag beetle,хъæбуза-саг
crane,хъуррой
demoiselle crane,рæсугъд хъуррой
hare,тæрхъос
blue hare,уорс тæрхъос
zebra,зебрæ
shrew,зæнхкъахæг
lacewings,бæгъетцæстæ
snake,хелагæ
goldfish,сугъзæрийнæ кæсалгæ
auroch bison,донмæй
finch,метметгæнагæ
oriole,борцъеу
turkey,силæ гогуз
turkey-cock,нæл гогуз
caucasian black grouse,кавказаг саугарк
branta,казаркæ
cockatoo,устур тотий
squid,кальмар
flounder,камбæлæ
canary,канарейкæ
buzzard,сарыч
white cabbage butterfly,къабусгахуар
black widow,каракурт
crucian,карась
carp,карп
red ramshorn snail,катушкитæ
spotted nutcracker,сибийраг халон
kangaroo,кенгуру
whale,гайа
crossbill,дзиуаркъæбот
acarid,гæбу
bug tell-tale,гъæдисистæ-салдат
chough,клушицæ
cobra,кобрæ
