term,value,context,context value,image
@topic,Emotions,,,
@author,Kazbek Byasov,,,
@author_local,Биасти Георги фурт Хъазыбег,,,
anger,фурмæст,,,emotions/anger/image1.gif
contempt,æгадæ,,,emotions/contempt/image1.gif
disgust,илгъадæ,,,emotions/disgust/image1.gif
fear,tas,,,emotions/fear/image1.gif
guilt,лазæ,,,emotions/guilt/image1.gif
hostility,гегæ,,,emotions/hostility/image1.gif
interest,игъосун,,,emotions/interest/image1.gif
joy,цинæ,,,emotions/joy/image1.gif
sadness,мæтъæл,,,emotions/sadness/image1.gif
shame,ходуйнаг,,,emotions/shame/image1.gif
shyness,нимдæ,,,emotions/shyness/image1.gif
surprise,æнæнгъæл,,,emotions/surprise/image1.gif
