term,value
@topic,Цæрæгойтæ.Кæсалгитæ
@author,Kazbek Byasov
the beluga,уорсгæф
vobla,воблæ
carassius veiltail,вуалехвост
weather loach misgurnus,тæлфой кæсалгæ
loach,тъепа
guppies,гуппи
dolphin,æргъеугæф
goldfish,сугъзæрийнæ кæсалгæ
squid,кальмар
flounder,камбæлæ
crucian,карась
carp,карп
red ramshorn snail,катушкитæ
whale,гайа
crab,краб
salmon,лæсæг
paradise fish,макропод
jellyfish,медузæ
(sea) scallops,денгизи «сæрвасæнтæ»
starfish,денгизи стъалутæ
sea-horse,денгизон бæхтæ
common ruffe,хумæтæги ёрш
perch,окун
fish,кæсалгæ
ciprinus carpio carp,сазан
sardine,сардинæ
stellate sturgeon,севрюгæ
herring,сельд
scalare,скаляри
catfish,локо
zander pike-perch,судак
roach,тъаран
bankcod,треска
grig,донхелагæ
pheasant,синдзи уасæнгæ
trout,балир силгæ
pike,хехуар
