term,value,context,context value,image,pointer
@topic,Адæймаг.Бауæр,,,,
@author,Biasty Georgy furt Хъазыбег,,,,
face,цæсгон,,,body1.jpg,1
mouth,цъух,,,body1.jpg,2
chin,роцъо,,,body1.jpg,3
neck,бæрзæй,,,body1.jpg,4
shoulder,усхъæ,,,body1.jpg,5
arm,къох,,,body1.jpg,6
upper arm,усхъæ,,,body1.jpg,7
elbow,рæмбуйнæ,,,body1.jpg,8
forearm,базуг,,,body1.jpg,9
armpit,дæларм,,,body1.jpg,10
back,фæсонтæ,,,body1.jpg,11
chest,реу,,,body1.jpg,12
waist,астæу,,,body1.jpg,13
abdomen,губун,,,body1.jpg,14
buttocks,лæбæзтæ,,,body1.jpg,15
hip,суйнæ,,,body1.jpg,16
leg,къах,,,body1.jpg,17
leg,fad,,,body1.jpg,17
thigh,суйнæ,,,body1.jpg,18
knee,уæраг,,,body1.jpg,19
calf,зæнгæ,,,body1.jpg,20
wrist,цонгигъолæ,,,hand1.jpg,21
knuckle,knuckle,,,hand1.jpg,22
fingernail,них,,,hand1.jpg,23
thumb,дзиамбас,,,hand1.jpg,24
index finger,æхсун æнгулдзæ,,,hand1.jpg,25
middle finger,middle finger,,,hand1.jpg,26
ring finger,ring finger,,,hand1.jpg,27
little finger,кæстæр æнгулдзæ,,,hand1.jpg,28
palm,армитъæпæн,,,hand1.jpg,29
hair,хелæ,,,head1.jpg,30
forehead,тæрних,,,head1.jpg,32
sideburn,инхагæ,,,head1.jpg,33
ear,гъос,,,head1.jpg,34
cheek,рос,,,head1.jpg,35
nose,фий,,,head1.jpg,36
nostril,финдзи цъасæ,,,head1.jpg,37
jaw,æфсæрæ,,,head1.jpg,38
beard,закъе,,,head1.jpg,39
mustache,бецъотæ,,,head1.jpg,40
tongue,æвзаг,,,head1.jpg,41
tooth,дæндаг,,,head1.jpg,42
lip,билæ,,,head1.jpg,43
eyebrow,æрфуг,,,eye1.jpg,44
eyelid,тъæфалæ,,,eye1.jpg,45
eyelashes,цæстихауæ,,,eye1.jpg,46
iris,iris,,,eye1.jpg,47
pupil,цæсти гагу,,,eye1.jpg,48
ankle,фадигъолæ,,,foot1.jpg,49
heel,зæбæт,,,foot1.jpg,50
instep,уæлфад,,,foot1.jpg,51
ball,ball,,,foot1.jpg,52
big toe,хестæр æнгулдзæ,,,foot1.jpg,53
toe,æнгулдзæ,,,foot1.jpg,54
little toe,кæстæр æнгулдзæ,,,foot1.jpg,55
toenail,них,,,foot1.jpg,56
brain,магъз,,,head_internals.jpg,57
spinal cord,spinal cord,,,head_internals.jpg,58
throat,гъæлæс,,,head_internals.jpg,59
windpipe,windpipe,,,head_internals.jpg,60
esophagus,сауæсхолæ,,,head_internals.jpg,61
muscle,хæцъæф,,,body_internals1.jpg,62
lung,рæуæг,,,body_internals1.jpg,63
heart,зæрдæ,,,body_internals1.jpg,64
liver,игæр,,,body_internals1.jpg,65
stomach,уæцъæф,,,body_internals1.jpg,66
intestines,тæнгтæ,,,body_internals1.jpg,67
vein,тогдадзин,,,body_internals2.jpg,68
artery,artery,,,body_internals2.jpg,69
kidney,ург,,,body_internals2.jpg,70
pancreas,pancreas,,,body_internals2.jpg,71
bladder,мезунцъаг,,,body_internals2.jpg,72
