term,value,context,context value,image,pointer
@topic,Miscellaneous,,,,
@author,Kazbek Byasov,,,,
anguish,ухери,,,misc/heavy/image1.gif,
be sick,сæйгæ,,,misc/be sick/image1.gif,
between,æхсæн,,,,
boundary,арæн,,,,
box,аскъæл,,,,
brick,агори,,,,
bride,ностæ,,,,
bucket,къибила,,,,
buttock,лæбæз,,,,
cast iron,циуан,,,,
chair,къела,,,,
chimney,тохона,,,,
circle,фæлгур,,,,
clear,кæдзос,,,,
coffee,скъордон,,,,
court,тæрхон,,,,
dirty weather,забалахъ,,,misc/dirty weather/image1.gif,
earth,зæнхæ,,,,
eat,лæперун,,,misc/eat/image1.gif,
familiar,вæсмард,,,misc/familiar/image1.gif,
fraud,фæлевæн,,,misc/fraud/image1.gif,
gems,нал,,,misc/gems/image1.gif,
glue,сансæ,,,misc/glue/image1.gif,
greed,зудæ,,,misc/greed/image1.gif,
greek,бердзейнаг,,,,
groom,мойнаг,,,,
harbor,наууат,,,,
hawser,бидт,,,,
hearth,къона,,,,
heavy,харакет,,,misc/heavy/image1.gif,
hell-fire,туфул,,,misc/hell-fire/image1.gif,
hematoma,тогдæппал,,,,
hogweed,билбатуг,,,,
hug,хъури кæнун,,,misc/hug/image1.gif,
husband,мойнæ,,,misc/husband/image1.gif,
image,сорæт,,,,
jointer,саласийнæ,,,,
jump,лæуерун,,,misc/jump/image1.gif,
knee,зонуг,,,misc/knee/image1.gif,
lake,цадæ,,,,
lathe,зурнæ,,,,
lead,изди,,,,
lightning,арвæртивд,,,,
line,ханхæ,,,,
maybe,мусийнæ,,,misc/maybe/image1.gif,
message,уст,,,misc/message/image1.gif,
mumbler,хомух,,,misc/mumbler/image1.gif,
overhang,катæ,,,,
paddle,беслеу,,,,
pillar,сæх,,,,
prey,хуали,,,,
rope,суйнаг,,,,
rust,изгæ,,,,
sausage,дзормæ,,,,
share,минди,,,misc/share/image1.gif,
shine,рохс,,,misc/shine/image1.gif,
ship,науæ,,,,
shooting range,æхсæн,,,,
shoulders ride,дзайдзай,,,misc/shoulders ride/image1.gif,
silk,дарий,,,,
slumber,самæти,,,misc/slumber/image1.gif,
sky,арв,,,,
sledgehammer,лæто,,,,
slope,тæссар,,,,
small axe,надзахи,,,,
smog,асмæ,,,misc/smog/image1.gif,
spin,урухсун,,,misc/spin/image1.gif,
spirit,мон,,,misc/spirit/image1.gif,
sprouts,забад,,,misc/sprouts/image1.gif,
stairs,асийнæ,,,,
tan,дзедзалæ,,,,
teapot,цайдан,,,,
temptation,монд,,,misc/temptation/image1.gif,
thumb,дзиамбас,,,misc/thumb/image1.gif,
toilet,пусойнæ,,,,
torch,соли,,,,
cunning,налат,,,misc/cunning/image1.gif,
waiting,хезун,,,misc/waiting/image1.gif,
wattle,сахъарали,,,,
wide,урух,,,misc/wide/image1.gif,
wooden bed,урундухъ,,,,
yawn,хомбериндзæ,,,misc/yawn/image1.gif,
sharp,циргъ,,,misc/sharp/image1.gif,
storm,уадæ,,,misc/storm/image1.gif,
flute,уадиндзæ,,,,
cheek,уадолæ,,,misc/cheek/image1.gif,
blister,хæппил,,,,
hearth fence,ундугæ,,,,
mother in law,уосимадæ,,,misc/mother in law/image1.gif,
wave,улæн,,,misc/wave/image1.gif,
broom,уесойнæ,,,,
root,уедагæ,,,,
spoon,уедуг,,,,
puke,уомун,,,misc/puke/image1.gif,
faint,уæлдзæг,,,misc/faint/image1.gif,
shelf,уæлвæйнæг,,,,
dawn,уæлбон,,,misc/dawn/image1.gif,
win,уæлахиз,,,misc/win/image1.gif,
back of the hand,уæларм,,,,
crane,уæзесæн,,,,
captivity,уацар,,,misc/captivity/image1.gif,
fisher,балир,,,misc/fisher/image1.gif,
small,минкъи,,,misc/small/image1.gif,
pants,хæлаф,,,,
brake,суггум,,,,
smoked,стад,,,,
finger ring,нихвæр,,,,
consent,арази,,,misc/consent/image1.gif,
cloud,æврагъ,,,misc/cloud/image1.gif,
acne,тæпхæл,,,misc/acne/image1.gif,
washer,цъæлхъос,,,,
pupil,цъæсти гагу,,,,
orbit,цъæсти къурфæ,,,,
lens,цъести фæрдуг,,,,
marrow,хъанз,,,,
short,цъубур,,,misc/short/image1.gif,
volume,медар,,,,
ground,сикъит,,,,
heap,æнсарæ,,,,
candle,цирагъ,,,,
pumice,цинадор,,,,
honor,цитæ,,,misc/honor/image1.gif,
kudos,кад,,,misc/honor/image1.gif,
famous,цитгин,,,misc/famous/image1.gif,
ladle,цолпи,,,,
circassian,цохъа,,,,
gutter,цухцурнæ,,,,
fry,цорун,,,misc/fry/image1.gif,
