term,value,context,context value,image
@topic,Emotions,,,
@author,Kazbek Byasov,,,
anger,anger,,,emotions/anger/image1.gif
contempt,contempt,,,emotions/contempt/image1.gif
disgust,disgust,,,emotions/disgust/image1.gif
fear,fear,,,emotions/fear/image1.gif
guilt,guilt,,,emotions/guilt/image1.gif
hostility,hostility,,,emotions/hostility/image1.gif
interest,interest,,,emotions/interest/image1.gif
joy,joy,,,emotions/joy/image1.gif
sadness,sadness,,,emotions/sadness/image1.gif
shame,shame,,,emotions/shame/image1.gif
shyness,shyness,,,emotions/shyness/image1.gif
surprise,surprise,,,emotions/surprise/image1.gif
