term,value,context,context value,image,pointer
@topic,Humans.Body,,,,
@author,Kazbek Byasov,,,,
face,face,,,body1.jpg,1
mouth,mouth,,,body1.jpg,2
chin,chin,,,body1.jpg,3
neck,neck,,,body1.jpg,4
shoulder,shoulder,,,body1.jpg,5
arm,arm,,,body1.jpg,6
upper arm,upper arm,,,body1.jpg,7
elbow,elbow,,,body1.jpg,8
forearm,forearm,,,body1.jpg,9
armpit,armpit,,,body1.jpg,10
back,back,,,body1.jpg,11
chest,chest,,,body1.jpg,12
waist,waist,,,body1.jpg,13
abdomen,abdomen,,,body1.jpg,14
buttocks,buttocks,,,body1.jpg,15
hip,hip,,,body1.jpg,16
leg,leg,,,body1.jpg,17
thigh,thigh,,,body1.jpg,18
knee,knee,,,body1.jpg,19
calf,calf,,,body1.jpg,20
wrist,wrist,,,hand1.jpg,21
knuckle,knuckle,,,hand1.jpg,22
fingernail,fingernail,,,hand1.jpg,23
thumb,thumb,,,hand1.jpg,24
index finger,index finger,,,hand1.jpg,25
middle finger,middle finger,,,hand1.jpg,26
ring finger,ring finger,,,hand1.jpg,27
little finger,little finger,,,hand1.jpg,28
palm,palm,,,hand1.jpg,29
hair,hair,,,head1.jpg,30
part,part,,,head1.jpg,31
forehead,forehead,,,head1.jpg,32
sideburn,sideburn,,,head1.jpg,33
ear,ear,,,head1.jpg,34
cheek,cheek,,,head1.jpg,35
nose,nose,,,head1.jpg,36
nostril,nostril,,,head1.jpg,37
jaw,jaw,,,head1.jpg,38
beard,beard,,,head1.jpg,39
mustache,mustache,,,head1.jpg,40
tongue,tongue,,,head1.jpg,41
tooth,tooth,,,head1.jpg,42
lip,lip,,,head1.jpg,43
eyebrow,eyebrow,,,eye1.jpg,44
eyelid,eyelid,,,eye1.jpg,45
eyelashes,eyelashes,,,eye1.jpg,46
iris,iris,,,eye1.jpg,47
pupil,pupil,,,eye1.jpg,48
ankle,ankle,,,foot1.jpg,49
heel,heel,,,foot1.jpg,50
instep,instep,,,foot1.jpg,51
ball,ball,,,foot1.jpg,52
big toe,big toe,,,foot1.jpg,53
toe,toe,,,foot1.jpg,54
little toe,little toe,,,foot1.jpg,55
toenail,toenail,,,foot1.jpg,56
brain,brain,,,head_internals.jpg,57
spinal cord,spinal cord,,,head_internals.jpg,58
throat,throat,,,head_internals.jpg,59
windpipe,windpipe,,,head_internals.jpg,60
esophagus,esophagus,,,head_internals.jpg,61
muscle,muscle,,,body_internals1.jpg,62
lung,lung,,,body_internals1.jpg,63
heart,heart,,,body_internals1.jpg,64
liver,liver,,,body_internals1.jpg,65
stomach,stomach,,,body_internals1.jpg,66
intestines,intestines,,,body_internals1.jpg,67
vein,vein,,,body_internals2.jpg,68
artery,artery,,,body_internals2.jpg,69
kidney,kidney,,,body_internals2.jpg,70
pancreas,pancreas,,,body_internals2.jpg,71
bladder,bladder,,,body_internals2.jpg,72
