term,value,context,context value,image
@topic,Motions,,,
@author,Kazbek Byasov,,,
amble,amble,,,motions/amble/image1.gif
bounce,bounce,,,motions/bounce/image1.gif
bump,bump,,,motions/bump/image1.gif
dart,dart,,,motions/dart/image1.gif
dance,dance,,,motions/dance/image1.gif
jog,jog,,,motions/jog/image1.gif
laugh,laugh,,,motions/laugh/image1.gif
limp,limp,,,motions/limp/image1.gif
lope,lope,,,motions/lope/image1.gif
roll,roll,,,motions/roll/image1.gif
run,run,,,motions/run/image1.gif
saunter,saunter,,,motions/saunter/image1.gif
scamper,scamper,,,motions/scamper/image1.gif
scurry,scurry,,,motions/scurry/image1.gif
spin,spin,,,motions/spin/image1.gif
stagger,stagger,,,motions/stagger/image1.gif
strut,strut,,,motions/strut/image1.gif
swagger,swagger,,,motions/swagger/image1.gif
sway,sway,,,motions/sway/image1.gif
tiptoe,tiptoe,,,motions/tiptoe/image1.gif
traipse,traipse,,,motions/traipse/image1.gif
walk,walk,,,motions/walk/image1.gif
work,work,,,motions/work/image1.gif
