term,value
@topic,Plants
@author,Kazbek Byasov
apricot,apricot
azalea,azalea
shrimp,shrimp
grape,grape
calamus,calamus
erodium,erodium
apple quince,apple quince
acacia,acacia
aloe,aloe
althaea,althaea
cherry-plum,cherry-plum
orange,orange
watermelon,watermelon
aster,aster
astragalus,astragalus
labrador tea,labrador tea
aubergine,aubergine
bamboo,bamboo
banana,banana
monkey-bread,monkey-bread
barberry,barberry
marigold,marigold
begonia,begonia
colclicum magnificent,colclicum magnificent
henbane,henbane
calla,calla
white boletus,white boletus
euonymus,euonymus
birch,birch
thistle,thistle
hemlock,hemlock
boletus,boletus
cow parsnip,cow parsnip
hawthorn,hawthorn
bromeliad,bromeliad
cowberry,cowberry
rutabaga,rutabaga
grassy elderberry,grassy elderberry
black elderberry,black elderberry
beech,beech
beetroot,beetroot
valerian,valerian
cornflower,cornflower
meadowrue,meadowrue
pussy-willow,pussy-willow
camel-thorn,camel-thorn
heather,heather
anemone,anemone
grape,grape
cherry,cherry
alga,alga
columbine,columbine
cowberry caucasian,cowberry caucasian
caltrop,caltrop
daphne,daphne
crow’s eye,crow’s eye
bindweed,bindweed
elm,elm
carnation,carnation
geranium,geranium
meadow geranium,meadow geranium
dahlia,dahlia
gledichia,gledichia
blueberry,blueberry
highlander alpine,highlander alpine
lychnis,lychnis
peas,peas
peas mouse,peas mouse
mustard,mustard
hornbeam,hornbeam
pomegranate,pomegranate
tamarisk,tamarisk
gentian,gentian
buckwheat,buckwheat
mushrooms,mushrooms
pear,pear
gagea,gagea
elecampane,elecampane
puffball,puffball
melicot,melicot
oak,oak
angelica,angelica
datura,datura
clot bur,clot bur
oregam,oregam
melon,melon
cocksfoot,cocksfoot
blackberry,blackberry
spruce,spruce
jasmine,jasmine
common buckthorn,common buckthorn
ginseng,ginseng
acorn,acorn
honey-suckle,honey-suckle
chickweed,chickweed
tutsan,tutsan
strawberry,strawberry
willow,willow
smooth elm-tree,smooth elm-tree
fig,fig
iris,iris
marrow,marrow
cactus,cactus
viburnum,viburnum
marsh marigold,marsh marigold
saxifrage,saxifrage
reed,reed
cabbage,cabbage
potato,potato
chestnut,chestnut
cedar,cedar
cornel,cornel
cypress,cypress
shamrock,shamrock
clover,clover
palmcrist,palmcrist
maple,maple
cranberry,cranberry
feather grass,feather grass
coconut,coconut
bellflower,bellflower
hemp,hemp
asarum,asarum
coriander,coriander
mullein,mullein
brom grass,brom grass
stone bramble,stone bramble
nettle,nettle
garden cress watercress,garden cress watercress
burnet,burnet
buckthorn,buckthorn
gooseberry,gooseberry
egg-pod,egg-pod
spatter-dock,spatter-dock
corn cockle,corn cockle
corn,corn
haircap,haircap
globe-flower,globe-flower
chervil,chervil
bay,bay
lily of the valley,lily of the valley
cinquefoil,cinquefoil
quinoa,quinoa
hazel,hazel
flax,flax
liana,liana
lily,lily
lemon,lemon
linden,linden
chanterelles,chanterelles
foxtail,foxtail
larch,larch
lichen,lichen
agaric honey,agaric honey
patsy,patsy
lotus,lotus
onion,onion
buttercup,buttercup
magnolia,magnolia
poppy,poppy
raspberry,raspberry
mallow,mallow
tangerine,tangerine
arrowroot,arrowroot
madder,madder
olive,olive
coltsfoot,coltsfoot
lungwort,lungwort
mimosa,mimosa
juniper,juniper
spurge,spurge
carrot,carrot
cloudberry,cloudberry
moss,moss
fly-agaric,fly-agaric
medlar,medlar
pepper-mint,pepper-mint
meadow grass,meadow grass
foxglove,foxglove
narcissus,narcissus
touch-me-not,touch-me-not
forget-me-not,forget-me-not
leucanthemum,leucanthemum
sea-buckthorn,sea-buckthorn
oats,oats
wild oats,wild oats
cucumber,cucumber
dandelion,dandelion
luzula,luzula
oleander,oleander
alder,alder
mistletoe,mistletoe
honey agaric,honey agaric
walnut,walnut
orchid,orchid
aspen,aspen
sedge,sedge
field sowthistle,field sowthistle
stonecrop,stonecrop
holly,holly
palm,palm
fern,fern
primrose,primrose
pepper,pepper
black pepper,black pepper
peach tree,peach tree
