term,value
@topic,Мæргътæ
@author,Kazbek Byasov
cormorant,баклан
snipe,мæга
white partridge,урс хуыргарк
snowy owl,урс уыг
griffin,урссæр сип
golden eagle,беркут
bearded vulture,саубоцъо цæргæс
thunderbird,уадфидиуæг
woodcock,хъæды мæга
bluethroat,варакушкæ
wryneck,къубалтил
sparrow,сырддонцъиу
crow,халон
bittern,хæфсхор
brambling,вьюрок
loon,гагарæ
jackdaw,сауцъиу
wood-grouse,къуырмагарк
pigeon,бæлон
redstart,буркъæдзил цъиу
rook,цъах
vulture,хæдмæлхор
goose,хъаз
thrush,нæмыгхор
bustard,дудахъ
woodpecker,хъæдхой
lark,хæрдмæдзог цъиу
crane,хърихъупп
demoiselle crane,рæсугъд хърихъупп
finch,митмитгæнаг
oriole,бурцъиу
turkey,сыл гогыз
turkey-cock,нæл гогыз
caucasian black grouse,кавказаг къуырмагарк
branta,казаркæ
cockatoo,стыр тути
canary,канарейкæ
buzzard,сарыч
spotted nutcracker,сыбираг халон
crossbill,æхсынæг цъиу
chough,клушицæ
nightjar,сæгъдуц
humming-bird,колибри
kinglet,нæзыйы цъиу
corn crake,цъæх мæга
kite,хъæрццыгъа
giildenstadt’s redstart,сырхгуыбын горихвосткæ
merlin arctic falcon,лацин
mallard quack,хъæддаг бабыз
cuckoo,гакк-гукк
sandspiper,доны ацц
hen,карк
partridge,хуыргарк
swallow,зæрватыкк
swan,доныхъаз
pied bushchat,уыгæрдæны чыкгæнæг
harrier,лунь
fly-catcher,бындзмар
ruddy shelduck,огар
eagle,цæргæс
peacock,мæлхъ
common shelduck,пеганкæ
quail,уæрцц
penguin,пингвин
nuthatch,бырæг цъиу
parrot,тути
snow bunting,пуночкæ
kestrel,пустельгатæ
pink starling,мæтæгхуыз сауцъиу
hazel hen,дзыгъуыргарк
titmouse,дзывылдар
starling,саумæлгъ
bullfinch,зараг цъиу
owl,уыг
jay,сойкæ
falcon,уари
nightingale,булæмæргъ
magpie,дзæгъындзæг
little bustard,стрепет
sand martin,чъима
horned owl,сидахъ
blackcock,саугарк
toucan,тукан
hoopoe,дыгоппон
snowcock,зым
duck,бабыз
duckbill,бабызфындз
the long-eared bat,хъусой
pheasant,сындзы уасæг
eagle owl,ололи
flamingo,фламинго
heron,кæсаглас
pearl-hen,цицыр
poult,цъиу
gull,кæсагдзау
lapwing,чибис
hawk,цъиусур
pipit,конёк
cock,уасæг
