term,value
@topic,Кæсæгтæ
@author,Kazbek Byasov
the beluga,урсгæф
vobla,воблæ
carassius veiltail,вуалехвост
weather loach misgurnus,тыхсой кæсаг
loach,лыстæгцæппæр кæсаг
guppies,гуппи
dolphin,сæмгæф
goldfish,сыгъзæрин кæсаг
squid,кальмар
flounder,камбæлæ
crucian,тъепа
carp,карп
red ramshorn snail,катушкæтæ
whale,гайа
crab,краб
salmon,æргъай
paradise fish,макропод
jellyfish,медузæ
(sea) scallops,денджызон сæрвасæнтæ
starfish,денджызон стъалытæ
sea-horse,денджызон бæхтæ
common ruffe,хуымæтæджы ёрш
perch,окунь
fish,кæсаг
ciprinus carpio carp,сазан
sardine,сардинæ
stellate sturgeon,кæфгæсаг
herring,сельд
scalare,скаляри
catfish,локо
zander pike-perch,судак
roach,тъаран
bankcod,треска
grig,калмгæсаг
pheasant,сындзы уасæг
trout,балергæсаг
pike,хихор
