term,value
@topic,Æхсырæйхæсгæ
@author,Kazbek Byasov
ram,фыр
snow leopard,фыранк
badger,зыгъарæг
hippopotamus,бегемот
white rat,урс уыры
squirrel,squirrel
flying squirrel,тæхгæ æхсæрæг
white bear,урс арс
stag deer,сæрбæрзонд саг
beaver,бобр
greyhound,егар
buffalo,къамбец
chipmunk,бурундук
brown bear,бур арс
bull,гал
steer,уæныг
wild boar,хъæддаг хуы
camel,теуа
wolf,бирæгъ
otter,уырд
gazelle,сугъахъ
cheetah,гепард
gibbon,гиббон
hyena,гиенæ
ermine,сыбираг мыстулæг
rodent,æхсынæг
dolphin,сæмгæф
raccoon,енот
spiny anteater,ехиднæ
hedgehog,уызын
stallion,уырс
colt,байраг
giraffe,жираф
hare,тæрхъус
blue hare,урс тæрхъус
zebra,зебрæ
shrew,зæхкъах
auroch bison,хъæддаг гал
kangaroo,кенгуру
whale,гайа
mare,ефс
goat,сæгъ
kid,сæныкк
cow,хъуг
steppe fox,корсак
roe deer,сæгуыт
cat,гæды
fur seal,котик
rabbit,хæдзарон тæрхъус
mole,куырм уыры
fruit-bat,крылан
rat,уыры
onager,кулан
marten,сæлавыр
lama,ламæ
doe,хъуаз
weasel,тæхсæл
lion,домбай
lemming,лемминг
leopard,леопард
bat,хæлынбыттыр
fox,рувас
elk,цæгатаг саг
horse,бæх
lioness,сыл домбай
mammoth,мамонт
bear,арс
walrus,морж
guinea-pig,денджызон хъыбыл
mule,хæргæфс
anteater,мæлдзыгхор
mouse,мыст
mink,норкæ
rhinoceros,сыкъафындз
monkey,маймули
sheep,фыс
female deer,саг
orangoutan,орангутанг
donkey,хæрæг
burro baby-ass,къæлæу
panda,пандæ
marbled polecat,перевязкæ
polar fox,цæгатаг рувас
pika,пищухæ
arvicolinae,быдырон мыст
piglet,хъыбыл
puma,пумæ
lynx,стай
saiga,сайгак
pig,хуы
northern deer,цæгатаг саг
chamois,сычъи
skunk,скунс
elephant,пыл
dog,куыдз
sable,сыбираг сæлавыр
marmot,зæххы æхсæрæг
gopher,хъулон уыры
calf,род
heifer,дыгæрдыг
tiger,тигр
capra,дзæбидыр
jerboa,тушкан
seal,тюлен
duckbill,бабызфындз
the long-eared bat,хъусой
hamster,хъулон уыры
jackal,шакал
puppy,къæбыла
lamb,уæрыкк
jaguar,ягуар
yak,як
