term,value
@topic,Reptiles
@author,Kazbek Byasov
asp,аспид
monitor lizard,варан
tartar sand boa,хурыскæсæйнаг æлхъивгалм
weather loach misgurnus,тыхсой кæсаг
adder,бурхъус калм
tadpole,къæбулæг хъунцъ
great crested newt,сæрвасæнхуыз тритон
viper,гюрза
toad,галхæфс
cobra,кобрæ
crocodile,кæфхъуындар
frog,хæфс
python,питон
steppe viper,быдырон маргджын калм
eft,тритон
grig,калмгæсаг
anaconda,удав
phrynocephalus mystaceus,тымбылсæр хъусой
chameleon,хамелеон
tortoise,уæртджын хæфс
gloydius,щитомордник
lizard,гæккуыри
