term,value
@topic,Рыбы
@author,Kazbek Byasov
the beluga,белуга
vobla,вобла
carassius veiltail,вуалехвост
weather loach misgurnus,вьюн
loach,голец
guppies,гуппи
dolphin,дельфин
goldfish,золотая рыбка
squid,кальмар
flounder,камбала
crucian,карась
carp,карп
red ramshorn snail,катушки
whale,кит
crab,краб
salmon,лосось
paradise fish,макропод
jellyfish,медуза
(sea) scallops,морские гребешки
starfish,морские звёзды
sea-horse,морские коньки
common ruffe,обыкновенный ёрш
perch,окунь
fish,рыба
ciprinus carpio carp,сазан
sardine,сардина
stellate sturgeon,севрюга
herring,сельд
scalare,скалярия
catfish,сом
zander pike-perch,судак
roach,тарань
bankcod,треска
grig,угорь
pheasant,фазан
trout,форель
pike,щука
