term,value
@topic,Насекомые
@author,Kazbek Byasov
butterfly,бабочка
flea,блоха
mantis,богомол
ladybird,божья коровка
water strider,водомерки
sucking louse,вошь
caterpillar,гусеница
longhorne beetle,дровосек
carabus ground beetle,жужелица
bug,клоп
blaps beetle,жук-медляк
grave digger,жук-могильщик
unicorn beetle,жук-носорог
stag beetle,жук-олень
lacewings,златоглазки
white cabbage butterfly,капустница
acarid,клещ
bug tell-tale,клоп-солдатик
mosquito,комар
bark beetle,короед
small tortoiseshell,крапивница
forest caterpillar hunter,красотел пахучий
grasshopper,кузнечик
mole-cricket,медведка
centipede,сороконожка
moth,моль
ant,муравей
fly,муха
gadfly,овод
wasp,оса
zygaenidae,пестрянка
bee,пчела
locust,саранча
cricket,сверчок
glowworm,светлячок
horsefly,слепень
pine moth,сосновый шелкопряд
dragonfly,стрекоза
cockroach,таракан
termite,термит
aphid,тля
bumblebee,шмель
